product_id,category,product_name,brand_name,manufacturer,brand,manufacturer_confidence,goods_no,data_source,ml_display,ml_estimated_total,volume_unit,price_regular,price_sale,price_per_10ml,raw_ingredient_text
pi_essenceSerumAmpoule_A000000254331,essenceSerumAmpoule,쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g,쥬베룩,,,,A000000254331,olive_crwl_price_ingredient,20.0,20.0,g(약 1ml 상당으로 근사),62000.0,55700.0,27850.0,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 자일리틸글루코사이드, 흑효모발효물, 자일리톨, 자일로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드해면, 하이알루로닉애씨드, 하이드롤라이즈드콜라겐(99.95ppb), 아텔로콜라겐(0.9995ppb), 판테놀, 베타인, 펜틸렌글라이콜, 하이드록시에틸우레아, 트로메타민, 다이페닐다이메티콘, 트라이에틸헥사노인, 에틸헥실글리세린, 폴리락틱애씨드(500,000ppb), 아데노신, 셀룰로오스검, 다이포타슘글리시리제이트, 안하이드로자일리톨, 프로판다이올, 하이드로제네이티드레시틴, 바이오사카라이드검-1, 시트릭애씨드, 소듐하이알루로네이트크로스폴리머, 소듐파이테이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 하이드롤라이즈드글라이코사미노글리칸, 베타-글루칸, 벤질글라이콜, 팔미토일트라이펩타이드-5, 토코페롤, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 팔미토일펜타펩타이드-4, 소듐락테이트, 스쿠알란, 폴리솔베이트20, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 아세틸테트라펩타이드-5, 아스코빅애씨드폴리펩타이드, 아세틸옥타펩타이드-3, 아세틸테트라펩타이드-2, 아세틸테트라펩타이드-3, 아세틸테트라펩타이드-9, 카르노신, 노나펩타이드-1, 카보머"
pi_essenceSerumAmpoule_A000000228888,essenceSerumAmpoule,토리든 밸런스풀 시카 컨트롤 세럼 50ml,토리든,,,,A000000228888,olive_crwl_price_ingredient,50.0,50.0,ml,23000.0,17250.0,3450.0,"정제수, 글리세린, 프로판다이올, 다이프로필렌글라이콜, 나이아신아마이드, 1,2-헥산다이올, 판테놀(11,000ppm), 병풀추출물, 마데카식애씨드, 아시아티코사이드(3,610ppb), 아시아틱애씨드, 마데카소사이드, 알란토인, 쓴풀추출물, 푸른연꽃추출물, 락토바실러스발효물, 접시꽃추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 징크하이드롤라이즈드하이알루로네이트, 칼슘판토테네이트, 석시닉애씨드, 글루코닉애씨드, 카프릴로일살리실릭애씨드, 징크피씨에이, 팔미토일다이펩타이드-7, 다이펩타이드-2, 다이포타슘글리시리제이트, 펜틸렌글라이콜, 소듐스테아로일글루타메이트, 아세틸글루코사민, 글리세릴글루코사이드, 아이소펜틸다이올, 2,3-부탄다이올, 옥틸도데칸올, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 카프로익애씨드, 폴리글리세릴-4올리에이트, 솔비탄스테아레이트, 폴리글리세린-3, 피토스테롤, 소듐서팩틴, 카보머, 잔탄검, 트로메타민, 소듐아세테이트, 에틸헥실글리세린, 콥티스뿌리추출물, 말라카이트추출물"
pi_essenceSerumAmpoule_A000000156315,essenceSerumAmpoule,[온라인 단독기획]바이오더마 하이드라비오 세럼 더블기획(40ml+40ml),바이오더마,,,,A000000156315,olive_crwl_price_ingredient,40.0,80.0,ml,,54600.0,6825.0,"정제수, 글리세린, 자일리톨, 소듐폴리아크릴레이트, 다이메티콘, 사이클로펜타실록세인, 페녹시에탄올, 클로페네신, 트라이데세스-6, 다이소듐이디티에이, 향료, 나이아신아마이드, 피이지/피피지-18/18다이메티콘, 프룩토올리고사카라이드, 만니톨, 소듐하이알루로네이트, 헥실데칸올, 카프릴릭/카프릭트라이글리세라이드, 람노오스, 라미나리아 오크롤레우카추출물, 사과씨추출물, 유채스테롤, 토코페롤"
pi_essenceSerumAmpoule_A000000189953,essenceSerumAmpoule,피지오겔 사이언수티컬즈 데일리뮨 글로우 에센스 100ML,피지오겔,,,,A000000189953,olive_crwl_price_ingredient,100.0,100.0,ml,60000.0,54000.0,5400.0,"""정제수, 다이프로필렌글라이콜, 프로판다이올, 글리세린, 트레할로오스, 변성알코올, 판테놀, 에칠아스코빌에텔(3-O-에틸아스코빅애씨드), 글라이코실트레할로오스, 페룰릭애씨드, 토코페롤, 소듐하이알루로네이트, 세라마이드엔피, 스쿠알란, 돌콩오일, 다마스크장미꽃오일, 베티버뿌리오일, 육계잎오일, 생강오일, 후추열매오일, 1,2-헥산다이올, 잇꽃꽃추출물, 카카오씨추출물, 솔비톨, 알란토인, 덱스트린, 다이글리세린, 소듐시트레이트, 시트릭애씨드, 하이드로제네이티드스타치하이드롤리세이트, 다이에톡시에틸석시네이트, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 다이소듐이디티에이"
pi_essenceSerumAmpoule_A000000198339,essenceSerumAmpoule,[쫀쫀탄력|속보습] 바이오힐 보 프로바이오덤 3D 리프팅 앰플 30ml [단품/증정기획],바이오힐보,,,,A000000198339,olive_crwl_price_ingredient,30.0,30.0,ml,35000.0,26200.0,8733.3,"락토바실러스발효용해물, 정제수, 아이소펜틸다이올, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세린-3, 1,2-헥산다이올, 세틸에틸헥사노에이트, 락토바실러스발효물, 프룩토올리고사카라이드, 프룩탄, 이눌린, 판테놀, 베타인, 베타-글루칸, 아데노신, 사포닌, 수용성프로테오글리칸, 노나펩타이드-1, 아세틸테트라펩타이드-9, 아세틸테트라펩타이드-5, 아세틸헥사펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일트라이펩타이드-8, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 올리고펩타이드-2, 글리세릴시트레이트/락테이트/리놀리에이트/올리에이트, 맥아추출물, 참마뿌리추출물, 오일팜오일, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아크릴레이트크로스폴리머-6, 말토덱스트린, 에틸헥실글리세린, 프로판다이올, 글리세릴폴리메타크릴레이트, 소듐폴리아크릴레이트, 솔비탄아이소스테아레이트, 알진, 바이오사카라이드검-4, 사이아노코발아민, 세테아릴글루코사이드, 세테아릴알코올, 부틸렌글라이콜, 소듐스테아로일글루타메이트, 토코페롤, 잔탄검, 하이드롤라이즈드옥수수전분, 수크로오스, 소듐포스페이트, 카프릴릴글라이콜, 미네랄솔트, 덱스트란, 다이소듐포스페이트, 향료"
pi_essenceSerumAmpoule_A000000261746,essenceSerumAmpoule,[업그레이드 수분진정세럼] 메디힐 티트리 더마 세럼 50mL,메디힐,,,,A000000261746,olive_crwl_price_ingredient,50.0,50.0,ml,,26000.0,5200.0,"정제수, 글리세린, 메틸프로판다이올, 프로판다이올, 부틸렌글라이콜, 티트리잎수(38,800 ppm), 아이소펜틸다이올, 1,2-헥산다이올, 베타인, 판테놀, 소듐하이알루로네이트, 폴리글리세릴-10라우레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린, 폴리아크릴레이트크로스폴리머-6, 티트리잎오일(300 ppm), 하이드로제네이티드레시틴, 잔탄검, 글리세릴폴리아크릴레이트, 티트리잎추출물(100 ppm), 티트리추출물(90 ppm), 세라마이드엔피, 4-터피네올(20 ppm), 베타-글루칸, 징크피씨에이, 토코페롤, 다이프로필렌글라이콜, 펜틸렌글라이콜, 카프릴릴/카프릴글루코사이드"
pi_essenceSerumAmpoule_A000000218444,essenceSerumAmpoule,[피지&모공 7일케어] 비욘드 엔젤 티트리올 10% 트러블 앰플 50ml,비욘드,,,,A000000218444,olive_crwl_price_ingredient,50.0,50.0,ml,27000.0,16800.0,3360.0,"[본품-앰플] 정제수, 녹차수(9.98906 %), 변성알코올, 글리세린, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 하이드록시에틸피페라진에탄설포닉애씨드, 판테놀, 트로메타민, 락틱애씨드, 하이드록시프로필구아, 다이포타슘글리시리제이트, 폴리글리세린-3, 부틸렌글라이콜, 글라이콜릭애씨드, 트라이소듐이디티에이, 비니거, 4-터피네올(109.3 ppm) , 카르니틴, 만델릭애씨드, 전호추출물, 시트릭애씨드, 프랑스해안송껍질추출물(0.1 ppm)

[증정-클렌징폼] 정제수, 글리세린, 미리스틱애씨드, 스테아릭애씨드, 라우릭애씨드, 포타슘코코일글리시네이트, 포타슘하이드록사이드, 글라이콜다이스테아레이트, 아크릴레이트코폴리머, 부틸렌글라이콜, 다이소듐코코암포다이아세테이트, 녹차수(0.97 %), 라우릴하이드록시설테인, 소듐클로라이드, 변성알코올, 글리세릴스테아레이트, 하이드레이티드실리카, 살리실릭애씨드, 로즈마리잎오일, 폴리쿼터늄-7, 폴리쿼터늄-22, 소듐글루코네이트, 헥실렌글라이콜, 1,2-헥산다이올, 멕시칸주니퍼오일, 카르니틴, 만델릭애씨드, 전호추출물, 4-터피네올(1 ppm), 프랑스해안송껍질추출물(0.1 ppm), 리모넨"
pi_essenceSerumAmpoule_A000000244411,essenceSerumAmpoule,[나이아신아마이드10%] 프리메라 PDRN-나이아10 토닝 글로우 세럼 30g 기획/단품,프리메라,,,,A000000244411,olive_crwl_price_ingredient,30.0,30.0,g(약 1ml 상당으로 근사),36000.0,25900.0,8633.3,"정제수, 부틸렌글라이콜, 나이아신아마이드, 글리세린, 트라이프로필렌글라이콜, 다이메틸아이소소바이드, 베타인, 판테놀, 1,2-헥산다이올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 하이드로제네이티드레시틴, 폴리메틸메타크릴레이트, 락토바실러스/콩추출물발효여과물, 콜레스테롤, 에틸헥실글리세린, 잔탄검, 티몰트라이메톡시신나메이트, 옥수수전분, 클로렐라 프로토테코이데스추출물, 소듐카보머, 만니톨, 수크로오스, 마이크로크리스탈린셀룰로오스, 소듐메타포스페이트, 아데노신, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 솔비탄아이소스테아레이트, 하이드롤라이즈드디엔에이, 토코페롤, 3-O-에틸아스코빅애씨드, 페룰릭애씨드, 락토바실러스세포외소포, 티타늄디옥사이드 (CI 77891), 황련뿌리추출물, 황색산화철, 사이아노코발아민, 글루타티온, 아스코빅애씨드"
pi_essenceSerumAmpoule_A000000141333,essenceSerumAmpoule,[노화케어] 디오디너리 매트릭실 10% + HA,디오디너리,,,,A000000141333,olive_crwl_price_ingredient,,,,,16600.0,,"정제수, 글리세린, 부틸렌글라이콜, 팔미토일트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-38, 소듐하이알루로네이트, 하이드록시프로필사이클로덱스트린, 피피지-26-부테스-26, 피이지-40하이드로제네이티드캐스터오일, 폴리아크릴레이트크로스폴리머-6, 트라이소듐에틸렌다이아민다이석시네이트, 카보머, 폴리솔베이트20, 에톡시다이글라이콜, 페녹시에탄올, 클로페네신"
pi_essenceSerumAmpoule_A000000243681,essenceSerumAmpoule,피지오겔 레드수딩 AI 리페어 에센스 200ml 기획(+로션 50ml),피지오겔,,,,A000000243681,olive_crwl_price_ingredient,200.0,250.0,ml,31000.0,24900.0,996.0,"피지오겔 레드수딩 AI 리페어 크림
정제수, 올리브오일, 글리세린, 펜틸렌글라이콜, 오일팜오일, 식물성오일, 하이드로제네이티드레시틴, 스쿠알란, 베타인, 팔미타마이드엠이에이, 아세타마이드엠이에이, 사코신, 하이드록시에틸셀룰로오스, 카보머, 소듐카보머, 잔탄검, 토코페롤, 다이소듐포스페이트, 소듐포스페이트

피지오겔 레드수딩 AI 리페어 에센스
정제수@글리세린@부틸렌글라이콜@다이프로필렌글라이콜@펜틸렌글라이콜@프로판다이올@알로에베라잎즙@나이아신아마이드@1,2-헥산다이올@베타인@판테놀@폴리글리세릴-10스테아레이트@폴리글리세릴-10올리에이트@트록세루틴@잔탄검@아데노신@아세타마이드엠이에이@시트릭애씨드@소듐시트레이트@트라이소듐이디티에이@트로메타민@사코신@베타-글루칸@팔미타마이드엠이에이@알로에베라잎폴리사카라이드@스쿠알란@카프릴릭/카프릭트라이글리세라이드@세라마이드엔피@하이드로제네이티드레시틴"
