ingredient_code,standard_name_kr,standard_name_en,alias_kr,alias_en
성분사전 표준화명칭목록,,,,
2026.06.30 기준,,,,
22639,칸디다 봄비콜라/글리세린/병풀잎추출물/(포도/해바라기)씨오일발효여과물,Candida Bombicola/Glycerin/Centella Asiatica LeafExtract/(Grape/Sunflower) Seed Oil Ferment Filtrate,,
22640,헥사펩타이드-85하이드록시프롤린,Hexapeptide-85 Hydroxyproline,,
22641,베타-알라니노일글루타모일테트라펩타이드-85하이드록시프롤린,Beta-Alaninoyl Glutamoyl Tetrapeptide-85 Hydroxyproline,,
22642,글루타모일시스테이노일베타-알라니노일글루타모일테트라펩타이드-58,Glutamoyl Cysteinoyl Beta-Alaninoyl GlutamoylTetrapeptide-58,,
22643,글루타모일다이펩타이드-55감마테트라펩타이드-58,Glutamoyl Dipeptide-55 Gamma Tetrapeptide-58,,
22644,플루오레닐메틸옥시카보닐글루타모일다이펩타이드-55감마테트라펩타이드-58,Fluorenylmethyloxycarbonyl Glutamoyl Dipeptide-55Gamma Tetrapeptide-58,,
22645,쿠티박테리움 아크네스발효여과물,Cutibacterium Acnes Ferment Filtrate,,
22646,서양자초씨오일,Anethum Graveolens (Dill) Seed Oil,,
22647,솔리다고 카나덴시스꽃/잎/줄기오일,Solidago Canadensis Flower/Leaf/Stem Oil,,
22648,테트라셀미스 추이추출물,Tetraselmis Chui Extract,,
22649,오리도닌,Oridonin,,
22650,백리향수,Thymus Quinquecostatus Water,,
22651,백리향오일,Thymus Quinquecostatus Oil,,
22652,신강자초뿌리/참당귀뿌리/귤껍질/백선뿌리/클로브꽃/감초뿌리/사과/페퍼민트잎/황벽나무껍질/광곽향잎/당느릅나무뿌리추출물,,,
22653,펠라르고니움 로세움잎추출물,Pelargonium Roseum Leaf Extract,,
22654,알로에잎껍질오일,,,
22655,펜타펩타이드-76아미노피이지-2아세틸펜타펩타이드-77,Pentapeptide-76 Amino PEG-2 Acetyl Pentapeptide-77,,
22656,테트라펩타이드-87아미노피이지-2아세틸트라이펩타이드-88,Tetrapeptide-87 Amino PEG-2 Acetyl Tripeptide-88,,
22657,테트라펩타이드-87아미노피이지-2아세틸에스에이치-펜타펩타이드-13에스피아미노피이지-2아세틸에스에이치-테트라펩타이드-3에스피,Tripeptide-87 Amino PEG-2 Acetyl sh-Pentapeptide-13 SPAmino PEG-2 Acetyl sh-Tetrapeptide-3 SP,,
22658,소나무목부오일,,,
22659,소나무목부수,,,
22660,안젤리카캘러스추출물,Angelica Archangelica Callus Extract,,
22661,락토바실러스/효모/당밀발효여과물,,락토바실러스/효모/모과나무잎/감나무잎/소나무잎/매실나무잎/당밀발효여과물,
22662,비피도박테리움/웨이셀라/당밀발효여과물,,비피도박테리움/웨이셀라/모과나무잎/감나무잎/소나무잎/매실나무잎/당밀발효여과물,
22663,맥아/(울금뿌리/비파나무잎/쇠뜨기/두충/검정콩/감초뿌리/헛개나무열 매/맥문동뿌리/허니서클/칡뿌리/삼백초/광엽발계뿌리추출물)/수크로 오스발효여과물,,맥아/(울금뿌리/비파나무잎/쇠뜨기/두충/검정콩/감초뿌리/헛개나무열매/맥문동뿌리/허니서클/칡뿌리/삼백초/중국토복령뿌리추출물)/수크로오스발효여과물,
22664,천문동뿌리/패랭이꽃줄기/창과감초뿌리/살구씨/소리쟁이뿌리/딱총나무줄기/산자고뿌리추출물,,,
22665,눈꽃동충하초균사체/조선현호색덩이줄기/멀구슬나무열매발효추출물,,,
22666,대청잎/뿌리추출물,,,
22667,술패랭이꽃씨추출물,Dianthus Longicalyx Seed Extract,,
22668,아스코빌아시아테이트,Ascorbyl Asiatate,,
22669,락토바실러스/소엽캘러스발효여과물,Lactobacillus/Perilla Frutescens Callus Ferment Filtrate,,
22670,다이프로필헵틸카보네이트,Dipropylheptyl Carbonate,,
22671,인체각질형성세포배양액,Human Keratinocyte Conditioned Media,,
22672,하이드롤라이즈드감자,,,
22673,락토바실러스/금창초캘러스발효여과물,,,
22674,알로에잎오일,,,
22675,황칠나무잎지게미가루,,,
22676,칼랑코에꽃,,,
22677,록샘파이어캘러스/라벤더캘러스/에델바이스캘러스추출물,,,
22678,아시바트렙,Asivatrep,,
22680,사프란추출물,Crocus Sativus Extract,,
22681,톱니모자반추출물,Sargassum Serratifolium Extract,,
22682,N-하이드록시펜타데카노일피토스핑고신,N-Hydroxypentadecanoyl Phytosphingosine,,
22683,그래핀,Graphene,,
22684,팔미토일헵타펩타이드-48,Palmitoyl Heptapeptide-48,,
22685,양배추잎가루,,,
