ingredient_code,standard_name_kr,standard_name_en,alias_kr,alias_en
성분사전 표준화명칭목록,,,,
2026.06.30 기준,,,,
1,가공소금,,,
2,가지열매추출물,Solanum Melongena (Eggplant) Fruit Extract,가지추출물,Solanum Melongena (Eggplant) Fruit Extract
3,구멍쇠미역추출물,Agarum Cribrosum Extract,구멍쇠미역추출물,Agarum Cribosum Extract
4,루핀아미노산,Lupine Amino Acids,,
5,류신,Leucine,,
6,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,,
7,백혈구추출물,Leukocyte Extract,류코사이트추출물,Leukocyte Extract
8,리나칸투스 콤무니스추출물,Rhinacanthus Communis Extract,,
9,리날룰,Linalool,,
10,리날릴아세테이트,Linalyl Acetate,,
11,리놀레닉애씨드,Linolenic Acid,,
12,리놀레아마이드엠이에이,Linoleamide MEA,,
13,구상나무잎가루,Abies Koreana Leaf Powder,,
14,리놀레아미도프로필다이메틸아민다이머다이리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,리놀레아미도프로필디메칠아민다이머디리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate
15,리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,리놀레아미도프로필에칠디모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate
16,리놀레아미도프로필피지-다이모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate,리놀레아미도프로필피지-디모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate
17,리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride PhosphateDimethicone,리놀레아미도프로필피지-디모늄클로라이드포스페이트디메치콘,Linoleamidopropyl PG-Dimonium Chloride PhosphateDimethicone
18,리놀레익애씨드,Linoleic Acid,,
19,리마콩씨추출물,Phaseolus Lunatus (Green Bean) Seed Extract,리마콩추출물,Phaseolus Lunatus (Green Bean) Seed Extract
20,리모넨,Limonene,,
21,리모니아 아키디시마목부가루,Limonia Acidissima Wood Powder,리모니아 아시디씨마나무가루,Limonia Acidissima Wood Powder
22,리보플라빈,Riboflavin,,
23,구상나무잎추출물,Abies Koreana Leaf Extract,,
24,리씨열매오일,Litsea Cubeba Fruit Oil,,
25,리치과피추출물,Litchi Chinensis Pericarp Extract,,
26,리치씨추출물,Litchi Chinensis Seed Extract,,
27,리치추출물,Litchi Chinensis Fruit Extract,리치열매추출물|여지열매추출물,Litchi Chinensis Fruit Extract
28,리토탐니온 칼카룸가루,Lithothamnion Calcareum Powder,리토탐니움 칼카룸가루,Lithothamnium Calcarum Powder
29,리튬마그네슘소듐실리케이트,Lithium Magnesium Sodium Silicate,,
30,리튬스테아레이트,Lithium Stearate,,
31,글루티너스리트세아나무껍질추출물,Litsea Glutinosa Bark Extract,리트세아 글루티노사껍질추출물,
32,리파아제,Lipase,,
33,리피아 시도이데스잎오일,Lippia Sidoides Leaf Oil,,
34,구아검,Cyamopsis Tetragonoloba (Guar) Gum,,
35,유럽피나무꽃추출물,Tilia Europaea Flower Extract,린덴꽃추출물,Tilia Europaea Flower Extract
36,마가목추출물,Sorbus Commixta Extract,,
37,마그네슘글루코네이트,Magnesium Gluconate,,
38,마그네슘나이트레이트,Magnesium Nitrate,,
39,마그네슘라우레스-8설페이트,Magnesium Laureth-8 Sulfate,,
40,마그네슘라우레스설페이트,Magnesium Laureth Sulfate,,
41,마그네슘라우릴설페이트,Magnesium Lauryl Sulfate,,
42,마그네슘락테이트,Magnesium Lactate,,
43,마그네슘미리스테이트,Magnesium Myristate,,
44,마그네슘살리실레이트,Magnesium Salicylate,,
45,구아노신,Guanosine,,
46,마그네슘설페이트,Magnesium Sulfate,,
47,마그네슘스테아레이트,Magnesium Stearate,,
48,마그네슘시트레이트,Magnesium Citrate,,
49,마그네슘실리케이트,Magnesium Silicate,,
50,마그네슘아세테이트,Magnesium Acetate,,
51,마그네슘아스코빌포스페이트,Magnesium Ascorbyl Phosphate,,
52,마그네슘아스파테이트,Magnesium Aspartate,,
53,마그네슘알루미늄실리케이트,Magnesium Aluminum Silicate,,
54,마그네슘옥사이드,Magnesium Oxide,,
55,마그네슘올레스설페이트,Magnesium Oleth Sulfate,,
56,구아니딘카보네이트,Guanidine Carbonate,,
57,마그네슘카보네이트,Magnesium Carbonate,,
58,마그네슘카보네이트하이드록사이드,Magnesium Carbonate Hydroxide,,
59,마그네슘클로라이드,Magnesium Chloride,,
60,마그네슘트라이실리케이트,Magnesium Trisilicate,마그네슘트리실리케이트,Magnesium Trisilicate
61,마그네슘팔미토일글루타메이트,Magnesium Palmitoyl Glutamate,,
62,마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드,Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide,,
63,마그네슘포타슘플루오로실리케이트,Magnesium Potassium Fluorosilicate,,
64,마그네슘피씨에이,Magnesium PCA,,
65,마그네슘하이드록사이드,Magnesium Hydroxide,,
66,황목련꽃추출물,Magnolia Acuminata Flower Extract,마그놀리아꽃추출물,Magnolia Acuminata Flower Extract
67,구아닌,Guanine,,
68,마누카가지/잎오일,Leptospermum Scoparium Branch/Leaf Oil,,
69,마늘추출물,Allium Sativum (Garlic) Bulb Extract,,
70,마데카소사이드,Madecassoside,,
71,마데카식애씨드,Madecassic Acid,,
72,마돈나백합꽃수,Lilium Candidum Flower Water,,
73,마돈나백합꽃추출물,Lilium Candidum Flower Extract,,
74,마돈나백합비늘줄기추출물,Lilium Candidum Bulb Extract,,
75,가시칠엽수껍질추출물,Aesculus Hippocastanum (Horse Chestnut) Bark Extract,마로니에껍질추출물,Aesculus Hippocastanum (Horse Chestnut) Bark Extract
76,가시칠엽수씨추출물,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,마로니에씨추출물,Aesculus Hippocastanum (Horse Chestnut) Seed Extract
77,마뿌리추출물,Dioscorea Oppositifolia (Wild Yam) Root Extract,,
78,구아바잎추출물,Psidium Guajava Leaf Extract,,
79,마시멜로뿌리,Althaea Officinalis Root,,
80,마시멜로뿌리추출물,Althaea Officinalis Root Extract,,
81,마시멜로잎/뿌리추출물,Althaea Officinalis Leaf/Root Extract,,
82,마시멜로잎추출물,Althaea Officinalis Leaf Extract,,
83,마이카,Mica,,
84,마이크로코쿠스용해물,Micrococcus Lysate,,
85,마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,,
86,마이크로크리스탈린왁스,Microcrystalline Wax,세라마이크로크리스탈리나,Cera Microcristallina
87,삼씨오일,Cannabis Sativa Seed Oil,마인오일,Cannabis Sativa Seed Oil
88,쇠비름추출물,Portulaca Oleracea Extract,마치현추출물,Portulaca Oleracea Extract
89,구아바열매추출물,Psidium Guajava Fruit Extract,구아바추출물,Psidium Guajava Fruit Extract
90,퀸즈랜드넛오일,Macadamia Integrifolia Seed Oil,마카다미아씨오일,Macadamia Integrifolia Seed Oil|Macadamia TernifoliaSeed Oil
91,마카다미아씨추출물,Macadamia Ternifolia Seed Extract,,
92,마카뿌리추출물,Lepidium Meyenii Root Extract,,
93,마테잎추출물,Ilex Paraguariensis Leaf Extract,,
94,마텔오일,Myrtus Communis Oil,,
95,마텔잎수,Myrtus Communis Leaf Water,,
96,마텔추출물,Myrtus Communis Extract,,
97,초마황추출물,Ephedra Sinica Extract,마황추출물,Ephedra Sinica Extract
98,만난,Mannan,,
99,구아이아줄렌,Guaiazulene,,
100,만니톨,Mannitol,,
101,필리핀오렌지껍질오일,Citrus Nobilis (Mandarin Orange) Peel Oil,만다린껍질오일,Citrus Nobilis (Mandarin Orange) Peel Oil
102,필리핀오렌지껍질추출물,Citrus Nobilis (Mandarin Orange) Peel Extract,만다린껍질추출물,Citrus Nobilis (Mandarin Orange) Peel Extract
103,필리핀오렌지수,Citrus Nobilis (Mandarin Orange) Water,만다린수,Citrus Nobilis (Mandarin Orange) Water
104,필리핀오렌지추출물,Citrus Nobilis (Mandarin Orange) Fruit Extract,만다린추출물,Citrus Nobilis (Mandarin Orange) Fruit Extract
105,만델릭애씨드,Mandelic Acid,,
106,만주곰슬껍질추출물,Pinus Tabuliformis Bark Extract,만주곰솔껍질추출물,Pinus Tabulaeformis Bark Extract
107,튜베로즈추출물,Polianthes Tuberosa Extract,만향옥추출물,Polianthes Tuberosa Extract
108,말굽잔나비버섯추출물,Fomes Officinalis (Mushroom) Extract,,
109,말라카이트,Malachite,,
110,힙네아 무스키포르미스추출물,Hypnea Musciformis Extract,갈고리가시우무추출물,
111,구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,구아하이드록시프로필트리모늄클로라이드,Guar Hydroxypropyltrimonium Chloride
112,말라카이트추출물,Malachite Extract,,
113,말레익애씨드,Maleic Acid,,
114,당아욱꽃/잎/줄기추출물,Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract,말로우꽃/잎/줄기추출물,Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract
115,당아욱잎가루,Malva Sylvestris (Mallow) Leaf Powder,말로우잎가루,Malva Sylvestris (Mallow) Leaf Powder
116,당아욱잎추출물,Malva Sylvestris (Mallow) Leaf Extract,말로우잎추출물,Malva Sylvestris (Mallow) Leaf Extract
117,당아욱추출물,Malva Sylvestris (Mallow) Extract,말로우추출물,Malva Sylvestris (Mallow) Extract
118,말리에이티드콩오일,Maleated Soybean Oil,,
119,아라비안자스민꽃왁스,Jasminum Sambac (Jasmine) Flower Wax,말리화꽃왁스,Jasminum Sambac (Jasmine) Flower Wax
120,아라비안자스민꽃추출물,Jasminum Sambac (Jasmine) Flower Extract,말리화꽃추출물,Jasminum Sambac (Jasmine) Flower Extract
121,아라비안자스민잎세포추출물,Jasminum Sambac (Jasmine) Leaf Cell Extract,말리화잎세포추출물,Jasminum Sambac (Jasmine) Leaf Cell Extract
122,구절초추출물,Chrysanthemum Sibiricum Extract,구절초추출물,Chrysanthemum Sibiricum Extract|ChrysanthemumZawadskii Extract
123,말릭애씨드,Malic Acid,,
124,말미잘자포,Sea Anemone Nematocyst,,
125,말토덱스트린,Maltodextrin,,
126,말토바이오닉애씨드,Maltobionic Acid,,
127,말토스,Maltose,,
128,말토실사이클로덱스트린,Maltosyl Cyclodextrin,,
129,말티톨,Maltitol,,
130,말티톨라우레이트,Maltitol Laurate,,
131,망가니즈글루코네이트,Manganese Gluconate,,
132,망가니즈다이옥사이드,Manganese Dioxide,망가니즈디옥사이드,Manganese Dioxide
133,망가니즈바이올렛,Manganese Violet,,
134,망가니즈클로라이드,Manganese Chloride,,
135,망가니즈피씨에이,Manganese PCA,,
136,망고스틴껍질추출물,Garcinia Mangostana Peel Extract,,
137,망고씨,Mangifera Indica (Mango) Seed,,
138,망고씨버터,Mangifera Indica (Mango) Seed Butter,망고씨드버터,Mangifera Indica (Mango) Seed Butter
139,망고씨오일,Mangifera Indica (Mango) Seed Oil,,
140,망고잎추출물,Mangifera Indica (Mango) Leaf Extract,,
141,망고즙,Mangifera Indica (Mango) Juice,,
142,구주물푸레잎추출물,Fraxinus Excelsior Leaf Extract,,
143,망고추출물,Mangifera Indica (Mango) Fruit Extract,,
144,메도우스위트꽃추출물,Spiraea Ulmaria Flower Extract,매도우스위트꽃추출물,Spiraea Ulmaria Flower Extract
145,메도우스위트잎추출물,Spiraea Ulmaria Leaf Extract,매도우스위트잎추출물,Spiraea Ulmaria (Meadowsweet) Leaf Extract
146,메도우스위트추출물,Spiraea Ulmaria Extract,매도우스위트추출물,Spiraea Ulmaria Extract
147,매생이추출물,Capsosiphon Fulvescens Extract,,
148,매스틱검,Pistacia Lentiscus (Mastic) Gum,,
149,매실수,Prunus Mume Fruit Water,,
150,매실추출물,Prunus Mume Fruit Extract,,
151,매실나무꽃수,Prunus Mume Flower Water,매화수,Prunus Mume Flower Water
152,매실나무꽃추출물,Prunus Mume Flower Extract,매화추출물,Prunus Mume Flower Extract
153,구주소나무껍질추출물,Pinus Sylvestris Bark Extract,,
154,소엽맥문동뿌리추출물,Ophiopogon Japonicus Root Extract,맥문동추출물,Ophiopogon Japonicus Root Extract
155,맥아추출물,Malt Extract,,
156,머위뿌리추출물,Petasites Japonicus Root Extract,,
157,머위잎/줄기추출물,Petasites Japonicus Leaf/Stem Extract,,
158,우단담배풀추출물,Verbascum Thapsus Extract,멀런추출물,Verbascum Thapsus Extract
159,멍석딸기추출물,Rubus Parvifolius Fruit Extract,,
160,메도우폼델타-락톤,Meadowfoam Delta-Lactone,,
161,메도우폼씨오일,Limnanthes Alba (Meadowfoam) Seed Oil,,
162,메밀씨추출물,Polygonum Fagopyrum (Buckwheat) Seed Extract,,
163,메밀잎추출물,Polygonum Fagopyrum (Buckwheat) Leaf Extract,,
164,구주소나무솔방울추출물,Pinus Sylvestris Cone Extract,,
165,메티오닌,Methionine,메치오닌,Methionine
166,메티콘,Methicone,메치콘,Methicone
167,메틸글루세스-10,Methyl Gluceth-10,메칠글루세스-10,Methyl Gluceth-10
168,메틸글루세스-20,Methyl Gluceth-20,메칠글루세스-20,Methyl Gluceth-20
169,메틸글루세스-20벤조에이트,Methyl Gluceth-20 Benzoate,메칠글루세스-20벤조에이트,Methyl Gluceth-20 Benzoate
170,메틸글루카민,Methylglucamine,메칠글루카민,Methylglucamine
171,메틸글루코오스다이올리에이트,Methyl Glucose Dioleate,메칠글루코오스디올리에이트,Methyl Glucose Dioleate
172,메틸글루코오스세스퀴스테아레이트,Methyl Glucose Sesquistearate,메칠글루코오스세스퀴스테아레이트,Methyl Glucose Sesquistearate
173,메틸니코티네이트,Methyl Nicotinate,메칠니코티네이트,Methyl Nicotinate
174,메틸다이-t-부틸하이드록시하이드로신나메이트,Methyl Di-t-butyl Hydroxyhydrocinnamate,메칠디-t-부틸하이드록시하이드로신나메이트,Methyl Di-t-butyl Hydroxyhydrocinnamate
175,구주소나무싹추출물,Pinus Sylvestris Bud Extract,,
176,메틸다이아이소프로필프로피온아마이드,Methyl Diisopropyl Propionamide,메칠디이소프로필프로피온아마이드,Methyl Diisopropyl Propionamide
177,메틸다이하이드로자스모네이트,Methyldihydrojasmonate,메칠디하이드로자스모네이트,Methyldihydrojasmonate
178,2-메틸레조시놀,2-Methylresorcinol,2-메칠레조시놀,2-Methylresorcinol
179,메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,,
180,메틸3-메틸레조실레이트,Methyl 3-Methylresorcylate,메칠3-메칠레조실레이트,Methyl 3-Methylresorcylate
181,메틸메타크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer,메칠메타크릴레이트/글라이콜디메타크릴레이트크로스폴리머,Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer
182,메틸메타크릴레이트/아크릴로나이트릴코폴리머,Methyl Methacrylate/Acrylonitrile Copolymer,메칠메타크릴레이트/아크릴로나이트릴코폴리머,Methyl Methacrylate/Acrylonitrile Copolymer
183,메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer,메칠메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer
184,메틸벤조에이트,Methyl Benzoate,메칠벤조에이트,Methyl Benzoate
185,구주소나무잎오일,Pinus Sylvestris Leaf Oil,,
186,4-메틸벤즈알데하이드,4-Methylbenzaldehyde,4-메칠벤즈알데하이드,4-Methylbenzaldehyde
187,4-메칠벤질리덴캠퍼,4-Methylbenzylidene Camphor,,
188,메틸사이클로덱스트린,Methyl Cyclodextrin,메칠사이클로덱스트린,Methyl Cyclodextrin
189,메틸살리실레이트,Methyl Salicylate,메칠살리실레이트,Methyl Salicylate
190,메틸세린,Methylserine,메칠세린,Methylserine
191,메틸셀룰로오스,Methylcellulose,메칠셀룰로오스,Methylcellulose
192,메틸소이에이트,Methyl Soyate,메칠소이에이트,Methyl Soyate
193,메틸스타이렌/비닐톨루엔코폴리머,Methylstyrene/Vinyltoluene Copolymer,메칠스타이렌/비닐톨루엔코폴리머,Methylstyrene/Vinyltoluene Copolymer
194,메틸실란올만누로네이트,Methylsilanol Mannuronate,메칠실라놀만누로네이트,Methylsilanol Mannuronate
195,메틸실란올카복시메틸테오필린알지네이트,Methylsilanol Carboxymethyl Theophylline Alginate,메칠실라놀카복시메칠테오필린알지네이트,Methylsilanol Carboxymethyl Theophylline Alginate
196,구주소나무잎추출물,Pinus Sylvestris Leaf Extract,,
197,메틸실란올피이지-7글리세릴코코에이트,Methylsilanol PEG-7 Glyceryl Cocoate,메칠실라놀피이지-7글리세릴코코에이트,Methylsilanol PEG-7 Glyceryl Cocoate
198,메틸실란올하이드록시프롤린아스파테이트,Methylsilanol Hydroxyproline Aspartate,메칠실라놀하이드록시프롤린아스파테이트,Methylsilanol Hydroxyproline Aspartate
199,메틸실란올/실리케이트크로스폴리머,Methylsilanol/Silicate Crosspolymer,메칠실란올/실리케이트크로스폴리머,Methylsilanol/Silicate Crosspolymer
200,메틸실란올트라이-피이지-8글리세릴코코에이트,Methylsilanol Tri-PEG-8 Glyceryl Cocoate,메칠실란올트리-피이지-8글리세릴코코에이트,Methylsilanol Tri-PEG-8 Glyceryl Cocoate
201,메틸아세테이트,Methyl Acetate,메칠아세테이트,Methyl Acetate
202,메틸안트라닐레이트,Methyl Anthranilate,메칠안트라닐레이트,Methyl Anthranilate
203,메틸2-옥티노에이트,Methyl 2-Octynoate,메칠2-옥티노에이트,
204,메틸유제놀,Methyl Eugenol,메칠유제놀,Methyl Eugenol
205,메틸유제닐피이지-8다이메티콘,Methyleugenyl PEG-8 Dimethicone,메칠유제닐피이지-8디메치콘,Methyleugenyl PEG-8 Dimethicone
206,메칠이소치아졸리논,Methylisothiazolinone,,
207,암브레트씨추출물,Hibiscus Abelmoschus Seed Extract,구주아욱씨추출물|머스크씨드씨추출물,Hibiscus Abelmoschus Seed Extract
208,메틸카프로에이트,Methyl Caproate,메칠카프로에이트,Methyl Caproate
209,메틸코코에이트,Methyl Cocoate,메칠코코에이트,Methyl Cocoate
210,메칠클로로이소치아졸리논,Methylchloroisothiazolinone,,
211,메틸타이로시네이트에이치씨엘,Methyl Tyrosinate HCl,메칠타이로시네이트에이치씨엘,Methyl Tyrosinate HCl
212,메틸트라이메티콘,Methyl Trimethicone,메칠트리메치콘,Methyl Trimethicone
213,메틸파라벤,Methylparaben,메칠파라벤,Methylparaben
214,메틸퍼플루오로부틸에터,Methyl Perfluorobutyl Ether,메칠퍼플루오로부틸에텔,Methyl Perfluorobutyl Ether
215,메틸퍼플루오로아이소부틸에터,Methyl Perfluoroisobutyl Ether,메칠퍼플루오로이소부틸에텔,Methyl Perfluoroisobutyl Ether
216,메틸페닐부탄올,Methyl Phenylbutanol,메칠페닐부탄올,Methyl Phenylbutanol
217,메틸펠라고네이트,Methyl Pelargonate,메칠펠라고네이트,Methyl Pelargonate
218,칡뿌리가루,Pueraria Lobata Root Powder,갈근가루,Pueraria Lobata Root Powder
219,암브레트추출물,Hibiscus Abelmoschus Extract,구주아욱추출물|머스크씨드추출물,Hibiscus Abelmoschus Extract
220,메칠폴리실록산에멀젼,Methylpolysiloxane Emulsion,,
221,메틸프로판다이올,Methylpropanediol,메칠프로판디올,Methylpropanediol
222,메틸피롤리돈,Methyl Pyrrolidone,메칠피롤리돈,Methyl Pyrrolidone
223,1-메틸하이단토인-2-이미드,1-Methylhydantoin-2-Imide,1-메칠하이단토인-2-이미드,1-Methylhydantoin-2-Imide
224,메틸하이드로제네이티드로지네이트,Methyl Hydrogenated Rosinate,메칠하이드로제네이티드로지네이트,Methyl Hydrogenated Rosinate
225,메틸헤스페리딘,Methyl Hesperidin,메칠헤스페리딘,Methyl Hesperidin
226,메틸헵틸아이소스테아레이트,Methylheptyl Isostearate,메칠헵틸이소스테아레이트,Methylheptyl Isostearate
227,메타크릴로일에틸베타인/아크릴레이트코폴리머,Methacryloyl Ethyl Betaine/Acrylates Copolymer,메타크릴로일에칠베타인/아크릴레이트코폴리머,Methacryloyl Ethyl Betaine/Acrylates Copolymer
228,메타포스포릭애씨드,Metaphosphoric Acid,,
229,메텐아민,Methenamine,,
230,국화추출물,Chrysanthemum Morifolium Flower Extract,국화꽃추출물,Chrysanthemum Morifolium FlowerExtract|Chrysanthemum Sinense Flower Extract
231,메톡시신나미도프로필라우르다이모늄토실레이트,Methoxycinnamidopropyl Laurdimonium Tosylate,메톡시신나미도프로필라우르디모늄토실레이트,Methoxycinnamidopropyl Laurdimonium Tosylate
232,메톡시신나미도프로필하이드록시설테인,Methoxycinnamidopropyl Hydroxysultaine,,
233,메톡시아모다이메티콘/실세스퀴옥세인코폴리머,Methoxy Amodimethicone/Silsesquioxane Copolymer,메톡시아모디메치콘/실세스퀴옥산코폴리머|아모다이메티콘/실세스퀴옥산코폴리머,Methoxy Amodimethicone/Silsesquioxane Copolymer
234,메톡시피이지-22/도데실글라이콜코폴리머,Methoxy PEG-22/Dodecyl Glycol Copolymer,,
235,메톡시피이지-12레틴아마이드,Methoxy PEG-12 Retinamide,,
236,메톡시피이지-7아스코빅애씨드,Methoxy PEG-7 Ascorbic Acid,,
237,메톡시피이지-114/폴리엡실론카프로락톤,Methoxy PEG-114/Polyepsilon Caprolactone,메톡시피이지-114/폴리엡실론카프롤락톤,Methoxy PEG-114/Polyepsilon Caprolactone
238,메톡시피이지/피피지-7/3아미노프로필다이메티콘,Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone,메톡시피이지/피피지-7/3아미노프로필디메치콘,Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone
239,멕시칸주니퍼오일,Juniperus Mexicana Oil,,
240,멕시코야생얌뿌리추출물,Dioscorea Composita Root Extract,,
241,굳은소나무가지/잎오일,Pinus Ponderosa Branch/Leaf Oil,,
242,멘톡시프로판다이올,Menthoxypropanediol,멘톡시프로판디올,Menthoxypropanediol
243,멘톤글리세린아세탈,Menthone Glycerin Acetal,,
244,멘톨,Menthol,,
245,멘틸락테이트,Menthyl Lactate,,
246,멘틸살리실레이트,Menthyl Salicylate,,
247,멘틸안트라닐레이트,Menthyl Anthranilate,,
248,멘틸피씨에이,Menthyl PCA,,
249,멜라닌,Melanin,,
250,멜라토닌,Melatonin,,
251,멜로트리아뿌리추출물,Melothria Heterophylla Root Extract,,
252,굴추출물,Oyster Extract,,
253,멜론수,Cucumis Melo (Melon) Fruit Water,,
254,멜론즙,Cucumis Melo (Melon) Juice,,
255,멜론추출물,Cucumis Melo (Melon) Fruit Extract,,
256,멜리바이오스,Melibiose,,
257,멜리식애씨드,Mellisic Acid,,
258,흰명아주꽃추출물,Chenopodium Album Flower Extract,명아주꽃추출물,Chenopodium Album Flower Extract
259,신선초잎/줄기추출물,Angelica Keiskei Leaf/Stem Extract,명일엽잎/줄기추출물,Angelica Keiskei Leaf/Stem Extract
260,신선초추출물,Angelica Keiskei Extract,명일엽추출물,Angelica Keiskei Extract
261,모과추출물,Chaenomeles Sinensis Fruit Extract,,
262,띠뿌리추출물,Imperata Cylindrica Root Extract,모근추출물,Imperata Cylindrica Root Extract
263,굴피나무열매추출물,Platycarya Strobilacea Fruit Extract,,
264,모노소듐시트레이트,Monosodium Citrate,,
265,모란껍질추출물,Paeonia Suffruticosa Bark Extract,,
266,모란뿌리추출물,Paeonia Suffruticosa Root Extract,,
267,굴껍질가루,Oyster Shell Powder,모려가루,Oyster Shell Powder
268,굴껍질추출물,Oyster Shell Extract,모려추출물,Oyster Shell Extract
269,모로칸용암점토,Moroccan Lava Clay,모로코라바클레이,Moroccan Lava Clay
270,몰로키아잎추출물,Corchorus Olitorius Leaf Extract,모로헤이야잎추출물,Corchorus Olitorius Leaf Extract
271,모르티에렐라오일,Mortierella Oil,,
272,모스빈씨추출물,Vigna Aconitifolia Seed Extract,,
273,모우라버터트리씨버터,Bassia Latifolia Seed Butter,,
274,굴피나무추출물,Platycarya Strobilacea Extract,,
275,모우레라 플루비아틸리스추출물,Mourera Fluviatilis Extract,,
276,모자반추출물,Sargassum Fulvellum Extract,,
277,목련가지/꽃/잎추출물,Magnolia Kobus Branch/Flower/Leaf Extract,목련나무가지/꽃/잎추출물,Magnolia Kobus Branch/Flower/Leaf Extract
278,목련나무껍질추출물,Magnolia Kobus Bark Extract,,
279,목서꽃추출물,Osmanthus Fragrans Flower Extract,,
280,목어석가루,,,
281,으름덩굴줄기추출물,Akebia Quinata Stem Extract,목통추출물,Akebia Quinata Stem Extract
282,목향추출물,Inula Helenium Extract,,
283,코튼,Gossypium Herbaceum (Cotton),목화,Gossypium Herbaceum (Cotton)
284,코튼가루,Gossypium Herbaceum (Cotton) Powder,목화가루,Gossypium Herbaceum (Cotton) Powder
285,중국당귀뿌리추출물,Angelica Polymorpha Sinensis Root Extract,궁궁이뿌리추출물,Angelica Polymorpha Sinensis Root Extract
286,코튼씨오일,Gossypium Herbaceum (Cotton) Seed Oil,목화씨오일,Gossypium Herbaceum (Cotton) Seed Oil
287,코튼씨추출물,Gossypium Herbaceum (Cotton) Seed Extract,목화씨추출물,Gossypium Herbaceum (Cotton) Seed Extract
288,코튼열매수,Gossypium Herbaceum (Cotton) Fruit Water,목화열매수,Gossypium Herbaceum (Cotton) Fruit Water
289,코튼추출물,Gossypium Herbaceum (Cotton) Extract,목화추출물,Gossypium Herbaceum (Cotton) Extract
290,몬모릴로나이트,Montmorillonite,,
291,몬탄왁스,Montan Cera,,
292,라디아타소나무껍질추출물,Pinus Radiata Bark Extract,몬터레이소나무껍질추출물,Pinus Radiata Bark Extract
293,몰약오일,Commiphora Myrrha Oil,,
294,아라비안몰약추출물,Commiphora Abyssinica Resin Extract,몰약추출물,Commiphora Abyssinica Resin Extract|CommiphoraMyrrha Resin Extract
295,치스투스 몬스펠리엔시스추출물,Cistus Monspeliensis Extract,몽펠리에록로즈추출물,Cistus Monspeliensis Extract
296,바위손추출물,Selaginella Tamariscina Extract,권백추출물,Selaginella Tamariscina Extract
297,안하이드로자일리톨,Anhydroxylitol,무수자일리톨,Anhydroxylitol
298,무씨추출물,Raphanus Sativus (Radish) Seed Extract,,
299,무추출물,Raphanus Sativus (Radish) Root Extract,,
300,리조무코르 미에헤이추출물,Mucor Miehei Extract,무코르 미에헤이추출물,Mucor Miehei Extract
301,무탐바잎추출물,Guazuma Ulmifolia Leaf Extract,,
302,무화과가루,Ficus Carica (Fig) Fruit Powder,,
303,무화과나무열매/잎추출물,Ficus Carica (Fig) Fruit/Leaf Extract,,
304,무화과수,Ficus Carica (Fig) Fruit Water,,
305,무화과추출물,Ficus Carica (Fig) Fruit Extract,,
306,무환자나무열매껍질추출물,Sapindus Mukorossi Peel Extract,무환자껍질추출물|무환자나무껍질추출물,Sapindus Mukorossi Peel Extract
307,귀리커넬가루,Avena Sativa (Oat) Kernel Flour,귀리가루,Avena Sativa (Oat) Kernel Flour|Avena Sativa (Oat) KernelMeal
308,무환자나무열매추출물,Sapindus Mukorossi Fruit Extract,무환자추출물,
309,문주란씨추출물,Crinum Asiaticum Seed Extract,,
310,문주란추출물,Crinum Asiaticum Extract,,
311,물냉이꽃/잎추출물,Nasturtium Officinale Flower/Leaf Extract,,
312,물냉이추출물,Nasturtium Officinale Extract,,
313,물푸레나무추출물,Fraxinus Rhynchophylla Extract,,
314,아메리카헤이즐넛씨오일,Corylus Americana (Hazelnut) Seed Oil,미국개암씨오일,Corylus Americana (Hazel) Seed Oil
315,미나리추출물,Oenanthe Javanica Extract,,
316,미네랄솔트,Mineral Salts,,
317,미네랄오일,Mineral Oil,,
318,귀리가루추출물,Avena Sativa (Oat) Meal Extract,,
319,미레스-3,Myreth-3,,
320,미레스-4,Myreth-4,,
321,미레스-3미리스테이트,Myreth-3 Myristate,,
