name,ingredient_type,effect_tags,label_confidence,needs_review,source_frequency
(크림)정제수,,,,False,
"1,2-헥산다이올",기제,,high,False,377.0
"1,2-헥산다이올[바노바기비타제닉젤리마스크리프레싱10매]정제수",,,,False,
"1,2-헥산다이올[바노바기비타제닉젤리마스크바이탈라이징10매]정제수",,,,False,
"1,2-헥산다이올[바노바기비타제닉젤리마스크시카10매]정제수",,,,False,
"1,2-헥산다이올[바노바기비타제닉젤리마스크포어타이트닝10매]정제수",,,,False,
"1,2-헥산다이올[바노바기비타제닉젤리마스크하이드레이팅10매]정제수",,,,False,
"1,2-헥산다이올[세라마이드모찌수분크림]정제수",,,,False,
1-메틸하이단토인-2-이미드,미분류,,,False,1.0
1.그린마일드업선플러스(본품+구성품)정제수,,,,False,
1.닥터지브라이트닝업선플러스(본품+구성품)정제수,,,,False,
1.멜라셋기미토닝크림정제수,,,,False,
1.자작나무무기자차선크림(본품)정제수,,,,False,
10-하이드록시데카노익애씨드,미분류,,,False,3.0
"2,3-부탄다이올",기제,,medium,False,25.0
"2,4-다이메틸-3-사이클로헥신카복스알데하이드",미분류,,,False,2.0
2-t-부틸사이클로헥실아세테이트,미분류,,,False,3.0
2-올레아미도-1,미분류,,,False,1.0
2-헥산다이올C13-14아이소알케인페녹시에탄올향료,,,,False,
2-헥산다이올카프릴릭/카프릭트라이글리세라이드솔비탄세스퀴올리에이트글리세릴카프릴레이트다이메티콘/피이지-10/15크로스폴리머토코페롤멘톨멘틸락테이트향료스테아랄코늄헥토라이트소듐하이알루로네이트세라마이드엔피프로필렌카보네이트아데노신비트레오스실라발효물티타늄디옥사이드리날룰리모넨크로뮴옥사이드그린울트라마린소듐시트레이트벤질살리실레이트하이드록시시트로넬알시트로넬올트라이에톡시카프릴릴실레인알루미늄하이드록사이드아쿠아피트니스샤워젤:정제수소듐라우레스설페이트하이드로제네이티드스타치하이드롤리세이트수크로오스코코-베타인소듐클로라이드향료시트릭애씨드해수소듐하이드록사이드비트레오스실라발효물헥실렌글라이콜시트랄황색4호청색1호페녹시에탄올살리실릭애씨드소듐벤조에이트,,,,False,
2-헥산다이올토코페롤페녹시에탄올향료[히알루크림]정제수글리세린아이소헥사데칸프로판다이올변성알코올아이소프로필아이소스테아레이트판테놀다이메티콘옥틸도데칸올베헤닐알코올세틸알코올갈랑가갈랑갈잎추출물스테아릭애씨드칼슘클로라이드세테아릴알코올세테아릴글루코사이드피이지-100스테아레이트소듐하이알루로네이트소듐하이드록사이드알진실리카미리스틱애씨드셀룰로오스팔미틱애씨드아데노신암모늄폴리아크릴로일다이메틸타우레이트다이소듐스테아로일글루타메이트엑토인하이드롤라이즈드하이알루로닉애씨드하이드록시아세토페논카프릴릭/카프릭트라이글리세라이드카프릴로일살리실릭애씨드시트릭애씨드라우레스-7트라이소듐에틸렌다이아민다이석시네이트아세틸글루코사민잔탄검펜틸렌글라이콜파이틱애씨드폴리아크릴아마이드폴리엡실론-라이신부틸렌글라이콜1,,,,False,
3-O-에틸아스코빅애씨드,액티브,미백|항산화,high,False,19.0
3-옥타데칸다이올만노오스폴록사머338카프릴로일살리실릭애씨드카프릴릴글라이콜비트레오스실라발효물시트릭애씨드트라이소듐에틸렌다이아민다이석시네이트말토덱스트린잔탄검펜틸렌글라이콜폴리솔베이트80아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머살리실릭애씨드피록톤올아민향료,,,,False,
3-옥타데칸디올,미분류,,,False,1.0
3-헥센올,미분류,,,False,3.0
4-t-부틸사이클로헥산올,미분류,,,False,1.0
4-다이카복실레이트,미분류,,,False,1.0
4-부틸레조시놀,미분류,,,False,1.0
4-터피네올,미분류,,,False,7.0
7-데하이드로콜레스테롤,미분류,,,False,2.0
C11-13아이소알케인,미분류,,,False,1.0
C12-13알케스-9,미분류,,,False,8.0
C12-13알킬글리세릴하이드롤라이즈드하이알루로네이트,미분류,,,False,1.0
C12-14알케스-12,미분류,,,False,2.0
C12-15알코올,미분류,,,False,2.0
C12-15알킬벤조에이트,기제,,high,False,15.0
C12-16알코올,미분류,,,False,5.0
C12-20알킬글루코사이드,기제,,high,False,21.0
C13-15알케인,미분류,,,False,3.0
