"ingredient","빈도(상품수)","성분_유형","ingredient_tag","label_confidence","검수필요"
"네오펜틸글라이콜다이카프레이트","4","미분류","","",""
"소듐디엔에이(1","4","미분류","","",""
"피씨에이다이메티콘","4","미분류","","",""
"보검선인장줄기추출물","4","미분류","","",""
"펜타펩타이드-3","4","미분류","","",""
"올리고펩타이드-2","4","미분류","","",""
"하이드롤라이즈드옥수수전분","4","미분류","","",""
"헥실데실에틸헥사노에이트","4","미분류","","",""
"감초추출물","4","미분류","","",""
"서양배추출물","4","미분류","","",""
"서양송악잎/줄기추출물","4","미분류","","",""
"에틸헥실스테아레이트","4","미분류","","",""
"살구씨오일","4","미분류","","",""
"비타민나무열매추출물","4","미분류","","",""
"피리독신","4","미분류","","",""
"티아민에이치씨엘","4","미분류","","",""
"폴리글리세릴-2스테아레이트","4","미분류","","",""
"코직애씨드","4","미분류","","",""
"하이드록시데실유비퀴논","4","미분류","","",""
"광곽향오일","4","미분류","","",""
"자작나무수액","4","미분류","","",""
"소듐메타바이설파이트","4","미분류","","",""
"티타늄디옥사이드(CI 77891)","4","미분류","","",""
"라즈베리케톤","4","미분류","","",""
"스트렙토코쿠스 테르모필루스발효물","4","미분류","","",""
"한련초추출물","4","미분류","","",""
"판토락톤","4","미분류","","",""
"니코틴아마이드모노뉴클레오타이드(10","4","미분류","","",""
"하이드로제네이티드캐스터오일/세바식애씨드코폴리머","4","미분류","","",""
"피이지/피피지-17/6코폴리머","4","미분류","","",""
"약모밀꽃/잎/줄기수(77%)","4","미분류","","",""
"아이소쿼시트린","4","미분류","","",""
"감초뿌리추출물","4","미분류","","",""
"프로테아제","4","미분류","","",""
"파파야열매추출물","4","미분류","","",""
"하이드롤라이즈드완두콩단백질","4","미분류","","",""
"폴리글리세릴-4올리에이트","4","미분류","","",""
"달맞이꽃오일","4","미분류","","",""
"하이드롤라이즈드쌀단백질","4","미분류","","",""
"하이드롤라이즈드루핀단백질","4","미분류","","",""
"글라이코프로테인","4","미분류","","",""
"사과즙","4","미분류","","",""
"피브이피","4","미분류","","",""
"밀싹추출물","4","미분류","","",""
"디메치콘","4","미분류","","",""
"트리에탄올아민","4","미분류","","",""
"플로레틴","4","미분류","","",""
"참오동나무잎추출물","4","미분류","","",""
"생달나무잎추출물","4","미분류","","",""
"녹나무잎추출물","4","미분류","","",""
"월계수잎추출물","4","미분류","","",""
"고수추출물","4","미분류","","",""
"후박나무가지추출물","4","미분류","","",""
"발삼아미리스껍질오일","4","미분류","","",""
"페네틸알코올","4","미분류","","",""
"홍삼추출물","4","미분류","","",""
"락토바실러스/콩추출물발효여과물","4","미분류","","",""
"폴리메틸메타크릴레이트","4","미분류","","",""
"버지니아풍년화잎추출물","4","미분류","","",""
"벤조트라이아졸릴도데실p-크레솔","4","미분류","","",""
"구아이아줄렌","4","미분류","","",""
"흑색산화철 (CI 77499)","4","미분류","","",""
"다이아이소스테아릴말레이트","4","미분류","","",""
"폴리프로필실세스퀴옥세인","4","미분류","","",""
"포도씨오일","4","미분류","","",""
"복사나무꽃추출물","4","미분류","","",""
"월귤추출물","4","미분류","","",""
"틴옥사이드","4","미분류","","",""
"소듐팔미토일사코시네이트","4","미분류","","",""
"금","4","미분류","","",""
"피피지-6-데실테트라데세스-30","4","미분류","","",""
"디이소부틸아디페이트","4","미분류","","",""
"폴리글리세릴-6폴리리시놀리에이트","4","미분류","","",""
"프랑스해안송껍질추출물","4","미분류","","",""
"세틸다이글리세릴트리스(트라이메틸실록시)실릴에틸다이메티콘","4","미분류","","",""
"타임잎추출물","4","미분류","","",""
"은행나무잎추출물","4","미분류","","",""
"이노시톨","4","미분류","","",""
"징크옥사이드 (CI 77947)","4","미분류","","",""
"흑색산화철","4","미분류","","",""
"오크라열매추출물","4","미분류","","",""
"소듐바이카보네이트","4","미분류","","",""
"노니열매추출물","4","미분류","","",""
"푸코오스","4","미분류","","",""
"피이지-60하이드로제네이티드캐스터오일","4","미분류","","",""
"정제수*","4","미분류","","",""
"1,2-헥산다이올*","4","미분류","","",""
"헥사펩타이드-11","4","미분류","","",""
"초피나무열매추출물","4","미분류","","",""
"카우슬립추출물","4","미분류","","",""
"아데노신포스페이트","4","미분류","","",""
"서양측백나무잎오일","4","미분류","","",""
"터펜틴","4","미분류","","",""
"폴리글루쿠로닉애씨드","4","미분류","","",""
"효모폴리펩타이드","4","미분류","","",""
"아스타잔틴","4","미분류","","",""
"000ppm","4","미분류","","",""
"페퍼민트잎추출물","4","미분류","","",""
"하이드록시페닐프로파미도벤조익애씨드","4","미분류","","",""
"오레가노잎추출물","4","미분류","","",""
"락토코쿠스발효용해물","4","미분류","","",""
"트라이라우레스-4포스페이트","4","미분류","","",""
"효모용해추출물","3","미분류","","",""
"알로에베라잎수","3","미분류","","",""
"피이지-8","3","미분류","","",""
"스테아릴다이메티콘","3","미분류","","",""
"C30-45알킬다이메티콘","3","미분류","","",""
"효모/보리씨발효여과물","3","미분류","","",""
"식물 유래 향","3","미분류","","",""
"병풀추출물(744ppm)","3","미분류","","",""
"마누카잎추출물(20ppm)","3","미분류","","",""
"마데카소사이드(20ppm)","3","미분류","","",""
"꿀추출물(900ppb)","3","미분류","","",""
"하이드록시프로필비스라우라마이드엠이에이","3","미분류","","",""
"세틸-피지하이드록시에틸팔미타마이드","3","미분류","","",""
"카프릴로일글라이신","3","미분류","","",""
"카퍼글루코네이트","3","미분류","","",""
"하이드록시프로필스타치포스페이트","3","미분류","","",""
"아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머","3","미분류","","",""
"살리실로일피토스핑고신","3","미분류","","",""
"비피다발효여과물","3","미분류","","",""
"병풀뿌리추출물","3","미분류","","",""
"아시아티코사이드(48 ppm)","3","미분류","","",""
"병풀잎추출물(40 ppm)","3","미분류","","",""
"마데카식애씨드(36 ppm)","3","미분류","","",""
"아시아틱애씨드(36 ppm)","3","미분류","","",""
"류코노스톡/무발효여과물","3","미분류","","",""
"마데카소사이드(3.6 ppm)","3","미분류","","",""
"병풀추출물(3.4 ppm)","3","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(1 ppm)","3","미분류","","",""
"미네랄오일","3","미분류","","",""
"인동덩굴꽃추출물","3","미분류","","",""
"에스에이치-폴리펩타이드-1","3","미분류","","",""
"편백수","3","미분류","","",""
"스타아니스추출물","3","미분류","","",""
"병풀잎수","3","미분류","","",""
"트라이데세스-10","3","미분류","","",""
"아미노메틸프로판다이올","3","미분류","","",""
"사포닌","3","미분류","","",""
"팔미토일트라이펩타이드-8","3","미분류","","",""
"맥아추출물","3","미분류","","",""
"미네랄솔트","3","미분류","","",""
"솔비탄팔미테이트","3","미분류","","",""
"라벤더꽃추출물","3","미분류","","",""
"히아신스전초추출물","3","미분류","","",""
"보리지추출물","3","미분류","","",""
"지치뿌리추출물","3","미분류","","",""
"하이드롤라이즈드스클레로튬검","3","미분류","","",""
"오리스뿌리추출물","3","미분류","","",""
"폴리글리세릴-10베헤네이트/에이코사디오에이트","3","미분류","","",""
"트로폴론","3","미분류","","",""
"수크로오스스테아레이트","3","미분류","","",""
"미리스틸미리스테이트","3","미분류","","",""
"쌀겨오일","3","미분류","","",""
"리보플라빈","3","미분류","","",""
"연필향나무오일","3","미분류","","",""
"팔미타마이드엠이에이","3","미분류","","",""
"아세타마이드엠이에이","3","미분류","","",""
"사코신","3","미분류","","",""
"소듐파이루베이트","3","미분류","","",""
"모란뿌리추출물","3","미분류","","",""
"피씨에이","3","미분류","","",""
"라이신에이치씨엘","3","미분류","","",""
"아르간커넬오일","3","미분류","","",""
"참깨오일","3","미분류","","",""
"베타-시토스테롤","3","미분류","","",""
"소듐하이알루로네이트(100ppm)","3","미분류","","",""
"아나토씨오일","3","미분류","","",""
"살리실릭애씨드(0.5%)","3","미분류","","",""
"흰버드나무껍질추출물(0.5%)","3","미분류","","",""
"10-하이드록시데카노익애씨드","3","미분류","","",""
"글루쿠로닉애씨드","3","미분류","","",""
"흰목이버섯포자낭과추출물","3","미분류","","",""
"서양민들레잎추출물","3","미분류","","",""
"다이포타슘포스페이트","3","미분류","","",""
"레몬껍질오일","3","미분류","","",""
"수크로오스팔미테이트","3","미분류","","",""
"1","3","미분류","","",""
"마그네슘피씨에이","3","미분류","","",""
"우릭애씨드","3","미분류","","",""
"600ppm)","3","미분류","","",""
"비타민나무열매오일","3","미분류","","",""
"동백나무씨오일","3","미분류","","",""
"하이드롤라이즈드콩단백질","3","미분류","","",""
"하이드롤라이즈드귀리단백질","3","미분류","","",""
"하이드롤라이즈드옥수수단백질","3","미분류","","",""
"하이드롤라이즈드밀단백질","3","미분류","","",""
"하이드롤라이즈드스위트아몬드단백질","3","미분류","","",""
"버지니아풍년화수","3","미분류","","",""
"글리세레스-25피씨에이아이소스테아레이트","3","미분류","","",""
"디프로필렌글라이콜","3","미분류","","",""
"클로브꽃추출물","3","미분류","","",""
"1,2-헥산디올","3","미분류","","",""
"슈가켈프추출물","3","미분류","","",""
"갈락토미세스발효여과물","3","미분류","","",""
"합성왁스","3","미분류","","",""
"카라멜","3","미분류","","",""
"황색5호","3","미분류","","",""
"아보카도열매추출물","3","미분류","","",""
"갈랑가갈랑갈추출물","3","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(0.100052ppm) 하이드롤라이즈드소듐하이알루로네이트(0.1ppm)","3","미분류","","",""
"테트라하이드로피페린","3","미분류","","",""
"소듐하이알루로네이트크로스폴리머(2.08ppb)","3","미분류","","",""
"올레일알코올","3","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(0.012ppb)","3","미분류","","",""
"하이알루로닉애씨드(0.001ppb)","3","미분류","","",""
"토마토수(680","3","미분류","","",""
"다이프로 필렌글라이콜","3","미분류","","",""
"2-t-부틸사이클로헥실아세테이트","3","미분류","","",""
"피브로넥틴","3","미분류","","",""
"아데노신트라이포스페이트","3","미분류","","",""
"출물","3","미분류","","",""
"토마토즙(0.1 ppm)","3","미분류","","",""
"토마토열매/잎/줄기추출물(0.1 ppm)","3","미분류","","",""
"글라이코사미노글리칸","3","미분류","","",""
"라이코펜","3","미분류","","",""
"리날릴아세테이트","3","미분류","","",""
"에틸리날룰","3","미분류","","",""
"유칼립톨","3","미분류","","",""
"메틸렌다이옥시페닐메틸프로판알","3","미분류","","",""
"헥세닐아세테이트","3","미분류","","",""
"3-헥센올","3","미분류","","",""
"베티버뿌리오일","3","미분류","","",""
"후추열매오일","3","미분류","","",""
"생강오일","3","미분류","","",""
"육계잎오일","3","미분류","","",""
"나이아신아마이드(10%)","3","미분류","","",""
"올리고펩타이드-1","3","미분류","","",""
"하이드롤라이즈드해면","3","미분류","","",""
"나이아신아마이드(50","3","미분류","","",""
"캐스터오일/아이피디아이코폴리머","3","미분류","","",""
"소듐다이라우미도글루타미드라이신","3","미분류","","",""
"서양산딸기잎추출물","3","미분류","","",""
"제로틴/하이드롤라이즈드디엔에이","3","미분류","","",""
"로우스위트베리추출물","3","미분류","","",""
"검은뽕나무열매추출물","3","미분류","","",""
"효모추출물","3","미분류","","",""
"콜레스-24","3","미분류","","",""
"일랑일랑꽃오일","3","미분류","","",""
"돌콩펩타이드(100 ppm)","3","미분류","","",""
"카페오일헥사펩타이드-65(104 ppb)","3","미분류","","",""
"헵타소듐헥사카복시메틸다이펩타이드-12(54 ppb)","3","미분류","","",""
"바실러스/폴릭애씨드/돌콩발효추출물","3","미분류","","",""
"미리스토일펜타펩타이드-4(14 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-123(14 ppb)","3","미분류","","",""
"팔미토일펜타펩타이드-5(9 ppb)","3","미분류","","",""
"팔미토일펜타펩타이드-4(5 ppb)","3","미분류","","",""
"아세틸헥사펩타이드-8(5 ppb)","3","미분류","","",""
"팔미토일테트라펩타이드-7(4 ppb)","3","미분류","","",""
"에스에이치-데카펩타이드-7(4 ppb)","3","미분류","","",""
"에스에이치-옥타펩타이드-4(4 ppb)","3","미분류","","",""
"에스에이치-올리고펩타이드-9(4 ppb)","3","미분류","","",""
"에스에이치-펜타펩타이드-19(4 ppb)","3","미분류","","",""
"팔미토일트라이펩타이드-1(4 ppb)","3","미분류","","",""
"트라이펩타이드-32(4 ppb)","3","미분류","","",""
"에스알-(올리고펩타이드-91클로스트리듐보툴리눔폴리펩타이드-1)(4 ppb)","3","미분류","","",""
"에스에이치-올리고펩타이드-1(4 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-1(4 ppb)","3","미분류","","",""
"에스에이치-올리고펩타이드-2(4 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-9(4 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-16(4 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-22(4 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-3(4 ppb)","3","미분류","","",""
"에스에이치-폴리펩타이드-62(4 ppb)","3","미분류","","",""
"비스-하이드록시에톡시프로필다이메티콘","3","미분류","","",""
"파이틱애씨드","3","미분류","","",""
"별꽃추출물","3","미분류","","",""
"크로뮴옥사이드그린","3","미분류","","",""
"타라검","3","미분류","","",""
"포도주","3","미분류","","",""
"타라열매추출물","3","미분류","","",""
"코토니추출물","3","미분류","","",""
"C15-19알케인","3","미분류","","",""
"비타민나무오일","3","미분류","","",""
"베툴린","3","미분류","","",""
"해바라기씨오일불검화물","3","미분류","","",""
"풍선덩굴꽃/잎/덩굴추출물","3","미분류","","",""
"브로콜리싹추출물","3","미분류","","",""
"동백나무잎추출물","3","미분류","","",""
"로켓잎추출물","3","미분류","","",""
"자주개자리추출물","3","미분류","","",""
"피이지-10다이메티콘","3","미분류","","",""
"C30-45알킬세테아릴다이메티콘크로스폴리머","3","미분류","","",""
"페루기네움철쭉추출물","3","미분류","","",""
"덱스트린팔미테이트","3","미분류","","",""
"C13-15알케인","3","미분류","","",""
"멘톨","3","미분류","","",""
"아이소스테아릭애씨드","3","미분류","","",""
"제비꽃꽃추출물","3","미분류","","",""
"사철쑥추출물","3","미분류","","",""
"폴스애플민트잎추출물","3","미분류","","",""
"000PPM)","3","미분류","","",""
"클레리오일","3","미분류","","",""
"락토바실러스/부레옥잠발효물","3","미분류","","",""
"소듐데하이드로아세테이트","3","미분류","","",""
"부틸렌글라이콜*","3","미분류","","",""
"소듐서팩틴","3","미분류","","",""
"소듐아세테이트","3","미분류","","",""
"수크로오스다이스테아레이트","3","미분류","","",""
"제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.","3","미분류","","",""
"보리추출물","3","미분류","","",""
"오이추출물","3","미분류","","",""
"해바라기씨드케이크","3","미분류","","",""
"프로필렌글라이콜디카프레이트","3","미분류","","",""
"빙하수","3","미분류","","",""
"멘톡시프로판다이올","3","미분류","","",""
"메틸글루코오스세스퀴스테아레이트","3","미분류","","",""
"소듐아크릴레이트코폴리머","3","미분류","","",""
"하이드로제네이티드식물성오일","3","미분류","","",""
"아세틸헵타펩타이드-4","3","미분류","","",""
"낫토검","3","미분류","","",""
"여주열매추출물","3","미분류","","",""
"소엽맥문동뿌리추출물","3","미분류","","",""
"연꽃추출물","3","미분류","","",""
"바위손추출물*","3","미분류","","",""
"귀리커넬추출물+","3","미분류","","",""
"포트마리골드꽃추출물+","3","미분류","","",""
"개박하추출물+","3","미분류","","",""
"라즈베리잎추출물+","3","미분류","","",""
"와일드인디고뿌리추출물+","3","미분류","","",""
"별꽃추출물+","3","미분류","","",""
"레이디스맨틀잎추출물**","3","미분류","","",""
"삼색제비꽃추출물**","3","미분류","","",""
"다마스크장미꽃추출물**","3","미분류","","",""
"메도우스위트꽃추출물**","3","미분류","","",""
"마시멜로뿌리추출물**","3","미분류","","",""
"오렌지껍질오일++","3","미분류","","",""
"라임전초오일++","3","미분류","","",""
"로즈마리잎오일++","3","미분류","","",""
"센티드제라늄꽃오일++","3","미분류","","",""
"겔리듐 카르틸라기네움추출물","3","미분류","","",""
"글라이코스핑고리피드","3","미분류","","",""
"흑효모발효물","3","미분류","","",""
"옥수수커넬추출물","3","미분류","","",""
"소듐팔미토일프롤린","3","미분류","","",""
"락토바이오닉애씨드","3","미분류","","",""
"올레스-10","2","미분류","","",""
"귀리커넬추출물*","2","미분류","","",""
"포트마리골드꽃추출물*","2","미분류","","",""
"개박하추출물*","2","미분류","","",""
"라즈베리잎추출물*","2","미분류","","",""
"와일드인디고뿌리추출물*","2","미분류","","",""
"레이디스맨틀잎추출물+","2","미분류","","",""
"서양톱풀꽃추출물","2","미분류","","",""
"띠뿌리추출물","2","미분류","","",""
"하이드록시에틸피페라진에탄설포닉애씨드","2","미분류","","",""
"병풀추출물(1","2","미분류","","",""
"블랙체리열매추출물","2","미분류","","",""
"스쿠알란(150","2","미분류","","",""
"징크클로라이드","2","미분류","","",""
"아세틸레이티드글라이콜스테아레이트","2","미분류","","",""
"폴리글리세릴-3비즈왁스","2","미분류","","",""
"단삼뿌리추출물","2","미분류","","",""
"징크설페이트","2","미분류","","",""
"유럽밤나무씨추출물","2","미분류","","",""
"탄닉애씨드","2","미분류","","",""
"알지닌/라이신폴리펩타이드","2","미분류","","",""
"블루아가베잎추출물","2","미분류","","",""
"하이드로제네이티드채종유","2","미분류","","",""
"하이드롤라이즈드호호바에스터","2","미분류","","",""
"코코넛야자오일","2","미분류","","",""
"클레리추출물","2","미분류","","",""
"수레국화꽃추출물","2","미분류","","",""
"글루코닉애씨드","2","미분류","","",""
"다이메틸설폰","2","미분류","","",""
"삼백초잎/뿌리추출물","2","미분류","","",""
"잇꽃씨오일","2","미분류","","",""
"이트","2","미분류","","",""
"슈도알테로모나스발효추출물","2","미분류","","",""
"하이드로제네이티드폴리(C6-20올레핀)","2","미분류","","",""
"헥실레조시놀","2","미분류","","",""
"폴리데센","2","미분류","","",""
"화이트루핀씨추출물","2","미분류","","",""
"라우릴하이드록시설테인","2","미분류","","",""
"소듐메틸코코일타우레이트","2","미분류","","",""
"식물성오일","2","미분류","","",""
"암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머","2","미분류","","",""
"피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트","2","미분류","","",""
"만델릭애씨드","2","미분류","","",""
"크리신","2","미분류","","",""
"폴리다틴","2","미분류","","",""
"시트룰린","2","미분류","","",""
"글라이코젠","2","미분류","","",""
"히스티딘에이치씨엘","2","미분류","","",""
"사발팜열매추출물","2","미분류","","",""
"리솔레시틴","2","미분류","","",""
"아이소프로필팔미테이트","2","미분류","","",""
"다이프로필렌글라이콜*","2","미분류","","",""
"니코틴아마이드아데닌다이뉴클레오타이드","2","미분류","","",""
"카프릴하이드록사믹애씨드","2","미분류","","",""
"소듐폴리글루타메이트","2","미분류","","",""
"소듐하이알루로네이트(1.1ppm)","2","미분류","","",""
"약모밀소포(750ppb)","2","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이트(100.1ppb)","2","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(100ppb)","2","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(10ppb)","2","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(10ppb)","2","미분류","","",""
"하이알루로닉애씨드(2.5ppb)","2","미분류","","",""
"소듐하이알루로네이트크로스폴리머(1ppb)","2","미분류","","",""
"피리독신에이치씨엘","2","미분류","","",""
"파파인","2","미분류","","",""
"파스향나무잎추출물","2","미분류","","",""
"소듐하이알루로네이트(2","2","미분류","","",""
"700 ppm)","2","미분류","","",""
"유칼립투스잎오일","2","미분류","","",""
"사이클로덱스트린","2","미분류","","",""
"레몬그라스추출물","2","미분류","","",""
"코코-베타인","2","미분류","","",""
"세라마이드엔피(5","2","미분류","","",""
"000 ppb)","2","미분류","","",""
"트라이데세스-6","2","미분류","","",""
"구아바잎추출물","2","미분류","","",""
"트립토판","2","미분류","","",""
"오르니틴","2","미분류","","",""
"씨솔트","2","미분류","","",""
"나이아신아마이드(20","2","미분류","","",""
"아마씨추출물","2","미분류","","",""
"하이드롤라이즈드감자단백질","2","미분류","","",""
"하이드롤라이즈드보리단백질","2","미분류","","",""
"하이드롤라이즈드호호바단백질","2","미분류","","",""
"페퍼민트잎수","2","미분류","","",""
"브루셀스프라우트추출물","2","미분류","","",""
"황해쑥잎수(18","2","미분류","","",""
"944 ppm)","2","미분류","","",""
"황해쑥잎추출물(10 ppm)","2","미분류","","",""
"유자추출물","2","미분류","","",""
"디포타슘글리시리제이트","2","미분류","","",""
"멘톡시프로판디올","2","미분류","","",""
"이소도데칸","2","미분류","","",""
"쿠마린","2","미분류","","",""
"슈크로오스","2","미분류","","",""
"하이드록시프로필트라이 모늄하이알루로네이트","2","미분류","","",""
"트루로즈오브예리코추출물","2","미분류","","",""
"벤질알코올","2","미분류","","",""
"연어알추출물(1","2","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(0.0002ppb)","2","미분류","","",""
"토마토추출물(400 ppm)","2","미분류","","",""
"실레이트","2","미분류","","",""
"니코틴아마 이드아데닌다이뉴클레오타이드","2","미분류","","",""
"즈드콜라겐","2","미분류","","",""
"2,4-다이 메틸-3-사이클로헥신카복스알데하이드","2","미분류","","",""
"영지버섯추출물","2","미분류","","",""
"티몰트라이메톡시신나메이트","2","미분류","","",""
"클로렐라 프로토테코이데스추출물","2","미분류","","",""
"타마린드씨검","2","미분류","","",""
"아이소세테스-20","2","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(1","2","미분류","","",""
"암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머","2","미분류","","",""
"소듐올리에이트","2","미분류","","",""
"에스에이치-올리 고펩타이드-1","2","미분류","","",""
"로우스 위트블루베리추출물","2","미분류","","",""
"솔비탄세스퀴올리에이 트","2","미분류","","",""
"피이지-60 하이드로제네이티드캐스터오일","2","미분류","","",""
"클로페네 신","2","미분류","","",""
"아쿠아(아벤느 온천수)","2","미분류","","",""
"아이소세틸스테아로일스테아레이트","2","미분류","","",""
"피이지-7트라이메틸올프로판코코넛에터","2","미분류","","",""
"병풀잎수(17712ppm)","2","미분류","","",""
"레티놀(1","2","미분류","","",""
"000IU/g)","2","미분류","","",""
"레틴알","2","미분류","","",""
"병풀추출물(1ppm)","2","미분류","","",""
"제인","2","미분류","","",""
"레티놀 1","2","미분류","","",""
"000IU/g","2","미분류","","",""
"레틴알 0.005%","2","미분류","","",""
"하이드록시피나콜론레티노에이트 0.005%","2","미분류","","",""
"에스알-(올리고펩타이드-91클로스트리듐보툴리눔폴리펩타이드-1)","2","미분류","","",""
"울트라마린 (CI 77007)","2","미분류","","",""
"프로필렌글라이콜알지네이트","2","미분류","","",""
"녹차씨오일","2","미분류","","",""
"판테놀(50","2","미분류","","",""
"트라넥사믹애씨드(40","2","미분류","","",""
"3-O-에틸아스코빅애씨드(2","2","미분류","","",""
"글루타티온(100 ppm)","2","미분류","","",""
"아스코빅애씨드(1 ppb)","2","미분류","","",""
"아스코빌글루코사이드(1 ppb)","2","미분류","","",""
"호박가루","2","미분류","","",""
"아모다이메티콘","2","미분류","","",""
"쓴풀추출물","2","미분류","","",""
"푸른연꽃추출물","2","미분류","","",""
"025ppm)","2","미분류","","",""
"칸데릴라/호호바/쌀겨폴리글리세릴-3에스터","2","미분류","","",""
"쑥추출물(400","2","미분류","","",""
"036 ppm)","2","미분류","","",""
"글리세레스 -26","2","미분류","","",""
"만다린껍질추출물","2","미분류","","",""
"실리카다이메틸실릴레이트","2","미분류","","",""
"서양톱풀추출물","2","미분류","","",""
"에이치디아이/트라이메틸올헥실락톤크로스폴리머","2","미분류","","",""
"소듐카복시메틸베타-글루칸","2","미분류","","",""
"스키산드라 스페난테라열매추출물","2","미분류","","",""
"실크수(69.9%)","2","미분류","","",""
"롤라이즈드콜라겐","2","미분류","","",""
"에스에이치-폴리펩타이드-121(204ppb)","2","미분류","","",""
"-17(14 ppb)","2","미분류","","",""
"트란","2","미분류","","",""
"아세틸테트라펩타이드-3(7 ppb)","2","미분류","","",""
"이펩타이드-1(6 ppb)","2","미분류","","",""
"에스에이치-폴리펩타이드-11(4ppb)","2","미분류","","",""
"에스에이치-폴리펩타이드-19(4 ppb)","2","미분류","","",""
"애씨드","2","미분류","","",""
"알테로모나스발효추출물","2","미분류","","",""
"케리포리아 라케라타세포외소포","2","미분류","","",""
"미선나무수","2","미분류","","",""
"갈랑가갈랑갈잎추출물","2","미분류","","",""
"소듐하이알루로네이트(0.2004%)","2","미분류","","",""
"얼룩파인애플추출물","2","미분류","","",""
"살비아오일","2","미분류","","",""
"콥티스뿌리추출물","2","미분류","","",""
"풀러린","2","미분류","","",""
"솔비탄라우레이트","2","미분류","","",""
"피이지-75","2","미분류","","",""
"바오밥나무씨추출물","2","미분류","","",""
"하이드롤라이즈드알진","2","미분류","","",""
"호호바왁스피이지-120에스터","2","미분류","","",""
"트라이에탄올아민","2","미분류","","",""
"동백나무씨추출물","2","미분류","","",""
"타임추출물","2","미분류","","",""
"오렌지오일","2","미분류","","",""
"필리핀오렌지껍질오일","2","미분류","","",""
"리씨열매오일","2","미분류","","",""
"수레국화꽃수","2","미분류","","",""
"세틸포스페이트","2","미분류","","",""
"다마스크장미꽃추출물","2","미분류","","",""
"7-데하이드로콜레스테롤","2","미분류","","",""
"하이드록시신나믹애씨드","2","미분류","","",""
"루틴","2","미분류","","",""
"락토바실러스/호밀가루발효물","2","미분류","","",""
"락토바실러스/소이밀크발효여과물","2","미분류","","",""
"애플민트잎추출물","2","미분류","","",""
"아이소말트","2","미분류","","",""
"비스-에틸헥실옥시페놀메톡시페닐트라이아진","2","미분류","","",""
"230ppm)","2","미분류","","",""
"자작나무껍질추출물","2","미분류","","",""
"폴리비닐알코올","2","미분류","","",""
"프로필렌글라이콜다이벤조에이트","2","미분류","","",""
"바륨설페이트","2","미분류","","",""
"폴리실리콘-9","2","미분류","","",""
"메틸파라벤","2","미분류","","",""
"코코-글루코사이드","2","미분류","","",""
"줄맨드라미씨추출물","2","미분류","","",""
"귤껍질추출물","2","미분류","","",""
"케이프알로에잎추출물","2","미분류","","",""
"부틸메톡시디벤조일메탄","2","미분류","","",""
"스클레로튬검","2","미분류","","",""
"소듐코코일사코시네이트","2","미분류","","",""
"폴록사머338","2","미분류","","",""
"레티닐팔미테이트","2","미분류","","",""
"글리세릴베헤네이트","2","미분류","","",""
"삼나무잎추출물","2","미분류","","",""
"연꽃잎추출물","2","미분류","","",""
"100ppm)","2","미분류","","",""
"하이드롤라이즈드익스텐신","2","미분류","","",""
"다이에틸헥실석시네이트","2","미분류","","",""
"소듐설파이트","2","미분류","","",""
"C12-15알코올","2","미분류","","",""
"아스퍼질러스발효물","2","미분류","","",""
"에틸헥실글리세린*","2","미분류","","",""
"소듐코코일이세티오네이트","2","미분류","","",""
"카카두플럼추출물","2","미분류","","",""
"락토바실러스/쌀발효물","2","미분류","","",""
"올인원","2","미분류","","",""
"히비스커스꽃추출물","2","미분류","","",""
"실버위드추출물","2","미분류","","",""
"다이펩타이드-2","2","미분류","","",""
"조류추출물","2","미분류","","",""
"오이열매추출물","2","미분류","","",""
"페트롤라툼","2","미분류","","",""
"라놀린알코올","2","미분류","","",""
"트리소듐이디티에이","2","미분류","","",""
"페퍼민트추출물","2","미분류","","",""
"맥주효모추출물","2","미분류","","",""
"하이드로제네이티드폴리(C6-12올레핀)","2","미분류","","",""
"폴리글리세릴-10아이소스테아레이트","2","미분류","","",""
"소듐아이소스테아로일락테이트","2","미분류","","",""
"사철쑥꽃추출물","2","미분류","","",""
"사탕무뿌리추출물","2","미분류","","",""
"알파-아이소메틸아이오논","2","미분류","","",""
"피이지-32","2","미분류","","",""
