"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient","공통_ingredient","차별화_ingredient"
"A000000245794","[화잘먹/단독기획] 폴라초이스 바하 리퀴드 엑스폴리언트 118ml 기획 (+바하 리퀴드 30ml)","폴라초이스","118.0","148.0","ml","39000.0","29640","2002.7","정제수, 프로필렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세린, 살리실릭애씨드(0.5%), 흰버드나무껍질추출물(0.5%), 피이지/피피지-17/6코폴리머, 폴리솔베이트20, 비스-피이지-18메틸에터다이메틸실레인, 소듐파이테이트, 10-하이드록시데카노익애씨드, 알란토인, 다이포타슘글리시리제이트, 카프릴릴글라이콜, 페녹시에탄올, 클로페네신, 소듐하이드록사이드, 1,2-헥산다이올, 소듐하이알루로네이트, 비에이치티","","[21-1] 정제수, [21-2] 프로필렌글라이콜, [21-3] 나이아신아마이드, [21-4] 펜틸렌글라이콜, [21-5] 글리세린, [21-6] 살리실릭애씨드(0.5%), [21-7] 흰버드나무껍질추출물(0.5%), [21-8] 피이지/피피지-17/6코폴리머, [21-9] 폴리솔베이트20, [21-10] 비스-피이지-18메틸에터다이메틸실레인, [21-11] 소듐파이테이트, [21-12] 10-하이드록시데카노익애씨드, [21-13] 알란토인, [21-14] 다이포타슘글리시리제이트, [21-15] 카프릴릴글라이콜, [21-16] 페녹시에탄올, [21-17] 클로페네신, [21-18] 소듐하이드록사이드, [21-19] 1,2-헥산다이올, [21-20] 소듐하이알루로네이트, [21-21] 비에이치티"
"A000000256045","[NEW] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+늘어나는 화장솜 60매)","토리든","500.0","500.0","ml","29000.0","19800","396.0","정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린","","[23-1] 정제수, [23-2] 부틸렌글라이콜, [23-3] 다이프로필렌글라이콜, [23-4] 1,2-헥산다이올, [23-5] 글리세린, [23-6] 베타인, [23-7] 알란토인, [23-8] 판테놀, [23-9] 소듐하이알루로네이트크로스폴리머, [23-10] 소듐하이알루로네이트, [23-11] 소듐아세틸레이티드하이알루로네이트, [23-12] 하이드롤라이즈드소듐하이알루로네이트, [23-13] 하이드롤라이즈드하이알루로닉애씨드(200ppm), [23-14] 엑토인, [23-15] 감초추출물, [23-16] 2,3-부탄다이올, [23-17] 쇠비름추출물, [23-18] 트레할로오스, [23-19] 알지닌, [23-20] 펜틸렌글라이콜, [23-21] 말라카이트추출물, [23-22] 다이소듐이디티에이, [23-23] 에틸헥실글리세린"
"A000000258833","[7월 올영픽] 에스트라 아토베리어365 캡슐토너 300ml 기획 (+수딩크림 30ml+세라-히알 앰플 7ml)","에스트라","300.0","337.0","ml","30000.0","24000","712.2","정제수, 부틸렌글라이콜, 글리세린, 프로필렌글라이콜, 1,2-헥산다이올, 글루코노락톤, 에틸헥실글리세린, 칼슘클로라이드, 만니톨, 셀룰로오스, 셀룰로오스검, 트로메타민, 세틸-피지하이드록시에틸팔미타마이드, 스테아릭애씨드, 젤란검, 소듐시트레이트, 소듐글루코네이트, 벤조익애씨드, 세라마이드엔피, 하이드로제네이티드레시틴, 소듐벤조에이트, 실리카, 콜레스테롤, 스핑고리피드, 소듐하이알루로네이트, 하이드록시프로필메틸셀룰로오스, 토코페롤","","[27-1] 정제수, [27-2] 부틸렌글라이콜, [27-3] 글리세린, [27-4] 프로필렌글라이콜, [27-5] 1,2-헥산다이올, [27-6] 글루코노락톤, [27-7] 에틸헥실글리세린, [27-8] 칼슘클로라이드, [27-9] 만니톨, [27-10] 셀룰로오스, [27-11] 셀룰로오스검, [27-12] 트로메타민, [27-13] 세틸-피지하이드록시에틸팔미타마이드, [27-14] 스테아릭애씨드, [27-15] 젤란검, [27-16] 소듐시트레이트, [27-17] 소듐글루코네이트, [27-18] 벤조익애씨드, [27-19] 세라마이드엔피, [27-20] 하이드로제네이티드레시틴, [27-21] 소듐벤조에이트, [27-22] 실리카, [27-23] 콜레스테롤, [27-24] 스핑고리피드, [27-25] 소듐하이알루로네이트, [27-26] 하이드록시프로필메틸셀룰로오스, [27-27] 토코페롤"
"A000000189181","[수부지토너]브링그린 티트리 시카 수딩 토너 (500ml/250ml)","브링그린","500.0","750.0","ml","15000.0","13500","180.0","정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검","","[17-1] 정제수, [17-2] 다이프로필렌글라이콜, [17-3] 1,2-헥산다이올, [17-4] 부틸렌글라이콜, [17-5] 티트리추출물, [17-6] 티트리잎수, [17-7] 베타인, [17-8] 판테놀, [17-9] 티트리잎추출물, [17-10] 옥틸도데세스-16, [17-11] 소듐시트레이트, [17-12] 시트릭애씨드, [17-13] 티트리잎오일, [17-14] 티트리꽃/잎/줄기추출물, [17-15] 베타인살리실레이트, [17-16] 병풀추출물, [17-17] 잔탄검"
"A000000237491","[수부지장벽토너] 코스노리 판테놀 베리어 토너 205ml","코스노리","205.0","205.0","ml","20000.0","15000","731.7","정제수, 부틸렌글라이콜, 판테놀, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 1,2-헥산다이올, 카카두플럼추출물, 병풀추출물, 아시아티코사이드, 마데카소사이드, 세라마이드엔피, 얼룩파인애플추출물, 파파야열매추출물, 귀리가루추출물, 락토바실러스/콩발효추출물, 락토바실러스/쌀발효물, 락토바실러스/인삼뿌리발효여과물, 효모/율무씨발효여과물, 효모/감자추출물발효여과물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 동백나무씨오일, 아시아틱애씨드, 마데카식애씨드, 리놀레익애씨드, 락토바이오닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드로제네이티드레시틴, 프로판다이올, 소듐시트레이트, 베타인, 글리세린, 시트릭애씨드, 소듐폴리아크릴로일다이메틸타우레이트, 하이드록시프로필트라이모늄하이알루로네이트, 아데노신, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린","","[41-1] 정제수, [41-2] 부틸렌글라이콜, [41-3] 판테놀, [41-4] 다이프로필렌글라이콜, [41-5] 글리세레스-26, [41-6] 나이아신아마이드, [41-7] 1,2-헥산다이올, [41-8] 카카두플럼추출물, [41-9] 병풀추출물, [41-10] 아시아티코사이드, [41-11] 마데카소사이드, [41-12] 세라마이드엔피, [41-13] 얼룩파인애플추출물, [41-14] 파파야열매추출물, [41-15] 귀리가루추출물, [41-16] 락토바실러스/콩발효추출물, [41-17] 락토바실러스/쌀발효물, [41-18] 락토바실러스/인삼뿌리발효여과물, [41-19] 효모/율무씨발효여과물, [41-20] 효모/감자추출물발효여과물, [41-21] 소듐하이알루로네이트, [41-22] 하이드롤라이즈드하이알루로닉애씨드, [41-23] 동백나무씨오일, [41-24] 아시아틱애씨드, [41-25] 마데카식애씨드, [41-26] 리놀레익애씨드, [41-27] 락토바이오닉애씨드, [41-28] 소듐하이알루로네이트크로스폴리머, [41-29] 소듐아세틸레이티드하이알루로네이트, [41-30] 하이드로제네이티드레시틴, [41-31] 프로판다이올, [41-32] 소듐시트레이트, [41-33] 베타인, [41-34] 글리세린, [41-35] 시트릭애씨드, [41-36] 소듐폴리아크릴로일다이메틸타우레이트, [41-37] 하이드록시프로필트라이모늄하이알루로네이트, [41-38] 아데노신, [41-39] 펜틸렌글라이콜, [41-40] 카프릴릭/카프릭트라이글리세라이드, [41-41] 에틸헥실글리세린"
"A000000146589","[수분진정] 아비브 어성초 카밍 토너 스킨부스터 200ml","아비브","200.0","200.0","ml","23000.0","16100","805.0","정제수, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 베타인, 1,2-헥산다이올, 자일리톨, 약모밀추출물(3,500 ppm), 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 비피다발효용해물, 돌콩추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 잔탄검, 옥탄다이올, 병풀추출물, 토코페롤, 인동덩굴꽃추출물, 황금추출물, 바이오사카라이드검-4, 파스향나무잎추출물","","[24-1] 정제수, [24-2] 글리세린, [24-3] 부틸렌글라이콜, [24-4] 펜틸렌글라이콜, [24-5] 베타인, [24-6] 1,2-헥산다이올, [24-7] 자일리톨, [24-8] 약모밀추출물(3, [24-9] 500 ppm), [24-10] 판테놀, [24-11] 에틸헥실글리세린, [24-12] 소듐하이알루로네이트, [24-13] 비피다발효용해물, [24-14] 돌콩추출물, [24-15] 다이소듐이디티에이, [24-16] 하이드롤라이즈드하이알루로닉애씨드, [24-17] 잔탄검, [24-18] 옥탄다이올, [24-19] 병풀추출물, [24-20] 토코페롤, [24-21] 인동덩굴꽃추출물, [24-22] 황금추출물, [24-23] 바이오사카라이드검-4, [24-24] 파스향나무잎추출물"
"A000000255246","[미스트형/1등토너] 라운드랩 1025 독도 토너 300ml 1+1 기획 (+늘어나는 스킨패드 30매)","라운드랩","300.0","600.0","ml","29800.0","25900","431.7","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","","[16-1] 정제수, [16-2] 부틸렌글라이콜, [16-3] 글리세린, [16-4] 펜틸렌글라이콜, [16-5] 프로판다이올, [16-6] 아이리쉬모스추출물, [16-7] 사탕수수추출물, [16-8] 해수, [16-9] 1,2-헥산다이올, [16-10] 프로테아제, [16-11] 베타인, [16-12] 판테놀, [16-13] 에틸헥실글리세린, [16-14] 알란토인, [16-15] 잔탄검, [16-16] 다이소듐이디티에이"
"A000000004434","바이오더마 하이드라비오 토너 250ml","바이오더마","250.0","250.0","ml","29500.0","19200","768.0","정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨, 헥실데칸올, 소듐하이드록사이드, 시트릭애씨드, 람노오스, 사과씨추출물, 유채스테롤, 토코페롤, 향료료","","[18-1] 정제수, [18-2] 글리세린, [18-3] 폴리솔베이트20, [18-4] 다이소듐이디티에이, [18-5] 세트리모늄브로마이드, [18-6] 나이아신아마이드, [18-7] 자일리톨, [18-8] 알란토인, [18-9] 프룩토올리고사카라이드, [18-10] 만니톨, [18-11] 헥실데칸올, [18-12] 소듐하이드록사이드, [18-13] 시트릭애씨드, [18-14] 람노오스, [18-15] 사과씨추출물, [18-16] 유채스테롤, [18-17] 토코페롤, [18-18] 향료료"
"A000000137180","[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml)","라운드랩","500.0","600.0","ml","30000.0","27000","450.0","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","","[16-1] 정제수, [16-2] 부틸렌글라이콜, [16-3] 글리세린, [16-4] 펜틸렌글라이콜, [16-5] 프로판다이올, [16-6] 아이리쉬모스추출물, [16-7] 사탕수수추출물, [16-8] 해수, [16-9] 1,2-헥산다이올, [16-10] 프로테아제, [16-11] 베타인, [16-12] 판테놀, [16-13] 에틸헥실글리세린, [16-14] 알란토인, [16-15] 잔탄검, [16-16] 다이소듐이디티에이"
"A000000190395","[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정)","넘버즈인","300.0","600.0","ml","40000.0","28000","466.7","정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 카보머, 병풀추출물, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 하수오전초추출물, 베타인, 히아신스전초추출물, 판테놀, 알바수련꽃추출물","","[19-1] 정제수, [19-2] 1,2-헥산다이올, [19-3] 다이프로필렌글라이콜, [19-4] 프로판다이올, [19-5] 부틸렌글라이콜, [19-6] 글리세린, [19-7] 감초뿌리추출물, [19-8] 약모밀추출물, [19-9] 카보머, [19-10] 병풀추출물, [19-11] 하이드록시에틸셀룰로오스, [19-12] 알지닌, [19-13] 알란토인, [19-14] 다이소듐이디티에이, [19-15] 하수오전초추출물, [19-16] 베타인, [19-17] 히아신스전초추출물, [19-18] 판테놀, [19-19] 알바수련꽃추출물"
"A000000159921","라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml","라로슈포제","200.0","200.0","ml","37000.0","33300","1665.0","정제수 글리세린 프로판다이올 판테놀 펜틸렌글라이콜 소듐시트레이트 만노오스 마데카소사이드 망가니즈글루코네이트 소듐클로라이드 코코-베타인 카퍼글루코네이트 카프릴릴글라이콜 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트","","[15-1] 정제수, [15-2] 글리세린, [15-3] 프로판다이올, [15-4] 판테놀, [15-5] 펜틸렌글라이콜, [15-6] 소듐시트레이트, [15-7] 만노오스, [15-8] 마데카소사이드, [15-9] 망가니즈글루코네이트, [15-10] 소듐클로라이드, [15-11] 코코-베타인, [15-12] 카퍼글루코네이트, [15-13] 카프릴릴글라이콜, [15-14] 시트릭애씨드, [15-15] 트라이소듐에틸렌다이아민다이석시네이트"
"A000000207054","[대용량/속보습폭발] 더랩바이블랑두 올리고 히알루론산 딥 토너 500ml 대용량 기획 (+100ml)","더랩바이블랑두","500.0","600.0","ml","37000.0","28900","481.7","정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트(2,700 ppm), 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이","","[16-1] 정제수, [16-2] 부틸렌글라이콜, [16-3] 1,2-헥산다이올, [16-4] 글리세린, [16-5] 베타-글루칸, [16-6] 베타인, [16-7] 소듐하이알루로네이트(2, [16-8] 700 ppm), [16-9] 판테놀, [16-10] 솔비톨, [16-11] 아세틸글루코사민, [16-12] 글루쿠로닉애씨드, [16-13] 알란토인, [16-14] 토코페롤, [16-15] 에틸헥실글리세린, [16-16] 다이소듐이디티에이"
"A000000248498","[단독기획] 아누아 어성초 77 히알루론산 수분 진정 토너 350ml 리필 기획세트 (+350ml 리필팩)","아누아","350.0","700.0","ml","49000.0","27500","392.9","약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트(1.1ppm), 약모밀소포(750ppb), 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트(100ppb), 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트(10ppb), 하이드롤라이즈드하이알루로닉애씨드(10ppb), 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드(2.5ppb), 소듐하이알루로네이트크로스폴리머(1ppb), 포타슘하이알루로네이트(0.2ppb)","","[30-1] 약모밀꽃/잎/줄기수(77%), [30-2] 정제수, [30-3] 1,2-헥산다이올, [30-4] 글리세린, [30-5] 글리세레스-26, [30-6] 베타인, [30-7] 펜틸렌글라이콜, [30-8] 소듐시트레이트, [30-9] 아이소펜틸다이올, [30-10] 에틸헥실글리세린, [30-11] 다이포타슘글리시리제이트, [30-12] 시트릭애씨드, [30-13] 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, [30-14] 트로메타민, [30-15] 판테놀, [30-16] 소듐파이테이트, [30-17] 알란토인, [30-18] 소듐하이알루로네이트(1.1ppm), [30-19] 약모밀소포(750ppb), [30-20] 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), [30-21] 징크피씨에이, [30-22] 하이드록시프로필트라이모늄하이알루로네이트(100ppb), [30-23] 락토바실러스발효물, [30-24] 소듐아세틸레이티드하이알루로네이트(10ppb), [30-25] 하이드롤라이즈드하이알루로닉애씨드(10ppb), [30-26] 아이소쿼시트린, [30-27] 쿼세틴, [30-28] 하이알루로닉애씨드(2.5ppb), [30-29] 소듐하이알루로네이트크로스폴리머(1ppb), [30-30] 포타슘하이알루로네이트(0.2ppb)"
"A000000203171","식물나라 어린녹차 촉촉 진정토너 500mL","식물나라","500.0","500.0","ml","15800.0","10800","216.0","정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 녹차수, 베타인, 카보머, 트로메타민, 에틸헥실글리세린, 카카오씨추출물, 소듐파이테이트, 황련뿌리추출물, 보검선인장줄기추출물, 소나무잎추출물, 트루로즈오브예리코추출물, 토코페롤, 돌나물추출물","","[17-1] 정제수, [17-2] 부틸렌글라이콜, [17-3] 글리세린, [17-4] 1,2-헥산다이올, [17-5] 녹차수, [17-6] 베타인, [17-7] 카보머, [17-8] 트로메타민, [17-9] 에틸헥실글리세린, [17-10] 카카오씨추출물, [17-11] 소듐파이테이트, [17-12] 황련뿌리추출물, [17-13] 보검선인장줄기추출물, [17-14] 소나무잎추출물, [17-15] 트루로즈오브예리코추출물, [17-16] 토코페롤, [17-17] 돌나물추출물"
"A000000229456","[쿨링진정] 셀라딕스 트러블 쿨 카밍 131 토너 300ml","셀라딕스","300.0","300.0","ml","18300.0","16470","549.0","정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 판테놀, 자일리톨, 폴리글리세릴-10라우레이트, 프로판다이올, 베타인, 트레할로오스, 에틸헥실글리세린, 아데노신, 알지닌, 카보머, 다이소듐이디티에이, 알란토인, 유칼립투스잎오일, 락토바실러스발효용해물, 서양민들레잎추출물, 하이드롤라이즈드레시틴, 카프릴릴/카프릴트라이글리세라이드, 펜틸렌글라이콜, 황금추출물, 피토스핑고신, 사이클로덱스트린, 유칼립투스잎추출물, 알로에베라잎추출물, 레몬그라스추출물, 로즈힙추출물, 잔탄검, 에리스리톨, 하이드롤라이즈드완두콩단백질, 카프릴릴글라이콜, 폴리글리세릴-10스테아레이트, 스쿠알란, 폴라지닌, 세라마이드엔피, 스테아릭애씨드","","[39-1] 정제수, [39-2] 부틸렌글라이콜, [39-3] 글리세린, [39-4] 1,2-헥산다이올, [39-5] 나이아신아마이드, [39-6] 판테놀, [39-7] 자일리톨, [39-8] 폴리글리세릴-10라우레이트, [39-9] 프로판다이올, [39-10] 베타인, [39-11] 트레할로오스, [39-12] 에틸헥실글리세린, [39-13] 아데노신, [39-14] 알지닌, [39-15] 카보머, [39-16] 다이소듐이디티에이, [39-17] 알란토인, [39-18] 유칼립투스잎오일, [39-19] 락토바실러스발효용해물, [39-20] 서양민들레잎추출물, [39-21] 하이드롤라이즈드레시틴, [39-22] 카프릴릴/카프릴트라이글리세라이드, [39-23] 펜틸렌글라이콜, [39-24] 황금추출물, [39-25] 피토스핑고신, [39-26] 사이클로덱스트린, [39-27] 유칼립투스잎추출물, [39-28] 알로에베라잎추출물, [39-29] 레몬그라스추출물, [39-30] 로즈힙추출물, [39-31] 잔탄검, [39-32] 에리스리톨, [39-33] 하이드롤라이즈드완두콩단백질, [39-34] 카프릴릴글라이콜, [39-35] 폴리글리세릴-10스테아레이트, [39-36] 스쿠알란, [39-37] 폴라지닌, [39-38] 세라마이드엔피, [39-39] 스테아릭애씨드"
"A000000188990","[온라인단독/진정SET] 브링그린 티트리 시카 수딩 토너&크림 (세트/기획)","브링그린","","","","34000.0","20500","","[토너] 정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검 

 / [크림] 
정제수, 부틸렌글라이콜, 스쿠알란, 티트리잎수, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 펜틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 다이글리세린, 티트리추출물, 티트리잎추출물, 병풀추출물, 티트리꽃/잎/줄기추출물, 티트리잎오일, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리메틸실세스퀴옥세인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 솔비탄아이소스테아레이트, 마데카소사이드, 토코페롤, 에틸헥실글리세린","","[39-1] 정제수, [39-2] 다이프로필렌글라이콜, [39-3] 1,2-헥산다이올, [39-4] 부틸렌글라이콜, [39-5] 티트리추출물, [39-6] 티트리잎수, [39-7] 베타인, [39-8] 판테놀, [39-9] 티트리잎추출물, [39-10] 옥틸도데세스-16, [39-11] 소듐시트레이트, [39-12] 시트릭애씨드, [39-13] 티트리잎오일, [39-14] 티트리꽃/잎/줄기추출물, [39-15] 베타인살리실레이트, [39-16] 병풀추출물, [39-17] 정제수, [39-18] 부틸렌글라이콜, [39-19] 스쿠알란, [39-20] 티트리잎수, [39-21] 프로판다이올, [39-22] 1,2-헥산다이올, [39-23] 나이아신아마이드, [39-24] 펜틸렌글라이콜, [39-25] 폴리글리세릴-3메틸글루코오스다이스테아레이트, [39-26] 다이글리세린, [39-27] 티트리추출물, [39-28] 티트리잎추출물, [39-29] 병풀추출물, [39-30] 티트리꽃/잎/줄기추출물, [39-31] 티트리잎오일, [39-32] 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, [39-33] 폴리메틸실세스퀴옥세인, [39-34] 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, [39-35] 트로메타민, [39-36] 솔비탄아이소스테아레이트, [39-37] 마데카소사이드, [39-38] 토코페롤, [39-39] 에틸헥실글리세린"
"A000000258792","[리뉴얼] 토니모리 세라마이드 모찌 토너 500ml 기획 (+100ml + 크림 30ml)","토니모리","500.0","630.0","ml","18000.0","13500","214.3","[세라마이드 모찌 토너] 정제수, 다이프로필렌글라이콜, 글리세린, 펜타에리스리틸테트라아이소스테아레이트, 프로판다이올, 폴리글리세린-3, 마카다미아씨오일, 하이드록시아세토페논, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리데센, 에틸헥실글리세린, 알란토인, 스타이렌/브이피코폴리머, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, *리모넨, 소듐파이테이트, *리날룰, 폴리솔베이트60, 솔비탄아이소스테아레이트, 라반딘오일, 센티드제라늄꽃오일, 멕시칸주니퍼오일, 아이소펜틸다이올, 라벤더오일, 부틸렌글라이콜, 병풀추출물, 레몬껍질오일, 폴리글리세릴-4올리에이트, 세라마이드엔피(5,000 ppb), 수크로오스팔미테이트, 1,2-헥산다이올 

[세라마이드 모찌 수분 크림] 정제수, 글리세린, 다이글리세린, 에틸헥실팔미테이트, 베헤닐알코올, 피토스테릴/옥틸도데실라우로일글루타메이트, 소듐폴리아크릴레이트, 스테아릴알코올, 에틸헥실스테아레이트, 폴리글리세릴-10라우레이트, 하이드록시아세토페논, 부틸렌글라이콜, 카보머, 트로메타민, 레몬껍질오일, 에틸헥실글리세린, 잔탄검, 트라이데세스-6, 라반딘오일, 멕시칸주니퍼오일, 센티드제라늄꽃오일, 다이소듐이디티에이, 하이드로제네이티드레시틴, 병풀추출물, 라벤더오일, 쇠비름추출물, 체이스트트리추출물, 마트리카리아꽃추출물, 1,2-헥산다이올, 세라마이드엔피(5,000 ppb), 만주자작나무수액, 아사이팜열매추출물, 보검선인장줄기추출물, 구아바잎추출물, 소듐하이알루로네이트, 알로에베라잎추출물, 시트랄, 리모넨, 리날룰","","[75-1] 정제수, [75-2] 다이프로필렌글라이콜, [75-3] 글리세린, [75-4] 펜타에리스리틸테트라아이소스테아레이트, [75-5] 프로판다이올, [75-6] 폴리글리세린-3, [75-7] 마카다미아씨오일, [75-8] 하이드록시아세토페논, [75-9] 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, [75-10] 하이드로제네이티드폴리(C6-14올레핀), [75-11] 하이드로제네이티드폴리데센, [75-12] 에틸헥실글리세린, [75-13] 알란토인, [75-14] 스타이렌/브이피코폴리머, [75-15] 판테놀, [75-16] 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, [75-17] 트로메타민, [75-18] *리모넨, [75-19] 소듐파이테이트, [75-20] *리날룰, [75-21] 폴리솔베이트60, [75-22] 솔비탄아이소스테아레이트, [75-23] 라반딘오일, [75-24] 센티드제라늄꽃오일, [75-25] 멕시칸주니퍼오일, [75-26] 아이소펜틸다이올, [75-27] 라벤더오일, [75-28] 부틸렌글라이콜, [75-29] 병풀추출물, [75-30] 레몬껍질오일, [75-31] 폴리글리세릴-4올리에이트, [75-32] 세라마이드엔피(5, [75-33] 000 ppb), [75-34] 수크로오스팔미테이트, [75-35] 1, [75-36] 정제수, [75-37] 글리세린, [75-38] 다이글리세린, [75-39] 에틸헥실팔미테이트, [75-40] 베헤닐알코올, [75-41] 피토스테릴/옥틸도데실라우로일글루타메이트, [75-42] 소듐폴리아크릴레이트, [75-43] 스테아릴알코올, [75-44] 에틸헥실스테아레이트, [75-45] 폴리글리세릴-10라우레이트, [75-46] 하이드록시아세토페논, [75-47] 부틸렌글라이콜, [75-48] 카보머, [75-49] 트로메타민, [75-50] 레몬껍질오일, [75-51] 에틸헥실글리세린, [75-52] 잔탄검, [75-53] 트라이데세스-6, [75-54] 라반딘오일, [75-55] 멕시칸주니퍼오일, [75-56] 센티드제라늄꽃오일, [75-57] 다이소듐이디티에이, [75-58] 하이드로제네이티드레시틴, [75-59] 병풀추출물, [75-60] 라벤더오일, [75-61] 쇠비름추출물, [75-62] 체이스트트리추출물, [75-63] 마트리카리아꽃추출물, [75-64] 1,2-헥산다이올, [75-65] 세라마이드엔피(5, [75-66] 000 ppb), [75-67] 만주자작나무수액, [75-68] 아사이팜열매추출물, [75-69] 보검선인장줄기추출물, [75-70] 구아바잎추출물, [75-71] 소듐하이알루로네이트, [75-72] 알로에베라잎추출물, [75-73] 시트랄, [75-74] 리모넨, [75-75] 리날룰"
