"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000251819","[모공결/피지케어] 가쉬 타겟티드 포어 겔 미스트 100ml","가쉬","100.0","100.0","ml","38000","26500","2650.0","정제수, 트라이프로필렌글라이콜, 글리세레스-26, 프로판다이올, 메틸프로판다이올, 나이아신아마이드, 부틸렌글라이콜, 자일리톨, 1,2-헥산다이올, 글리세린, 소듐클로라이드, 글리세레스-25피씨에이아이소스테아레이트, 하이드록시아세토페논, 젤란검, 편백수, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 향료, 메틸다이아이소프로필프로피온아마이드, 치자추출물, 베타-글루칸, 사이아노코발아민, 덱스트린, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 옥수수커넬추출물, 아티초크잎추출물, 바이오플라보노이드, 프룩탄, 글루코오스, 사과추출물, 밤껍질추출물, 감나무잎추출물, 시트릭애씨드, 글루코노락톤, 살리실릭애씨드"
"A000000252666","크리니크 각질케어토너 1.0 200ml","크리니크","200.0","200.0","ml","43000","36550","1827.5","클래리파잉 로션 투와이스 어 데이 1.0 전성분: 정제수, 위치하젤수, 디프로필렌글라이콜, 바이오사카라이드검-1, 부틸렌글라이콜, 아세틸글루코사민, 글리세린, 슈크로오스, 살리실릭애씨드, 카페인, 소듐하이알루로네이트, 폴리소르베이트20, 트레할로스, 카프릴로일글라이신, 디소듐포스페이트, 트리소듐이디티에이, 벤조익애씨드, 페녹시에탄올 (ILN42266)제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다."
"A000000252670","크리니크 이븐 베터 브라이트닝 에센스 로션 175ml","크리니크","175.0","175.0","ml","72000","61200","3497.1","정제수, 글리세레스-26, 부틸렌글라이콜, 효모추출물, 아스코빌글루코사이드, 글리세린, 디메톡시톨릴프로필레조시놀, 다이포타슘글리시리제이트, 스페인감초잎추출물, 파이틱애씨드, 살리실릭애씨드, 아세틸글루코사민, 소듐하이알루로네이트, 녹차추출물, 카페인, 수크로오스, 조류추출물, 하이드롤라이즈드서양자두, 슈가켈프추출물, 당밀추출물, 솔비톨, 에틸헥실글리세린, 시트릭애씨드, 소듐하이드록사이드, 피피지-5-세테스-20, 피피지-6-데실테트라데세스-30, 카프릴릴글라이콜, 프로판다이올, 소듐시트레이트, 다이소듐이디티에이, 페녹시에탄올, 포타슘솔베이트 (ILN50385)"
"A000000252722","[NEW] 식물나라 어린녹차 촉촉 진정 젤 크림 100ml","식물나라","100.0","100.0","ml","","16800","1680.0","녹차수(50.9%),정제수,부틸렌글라이콜,글리세린,프로판다이올,1,2-헥산다이올,메틸트라이메티콘,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,알지닌,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,하이드로제네이티드폴리(C6-14올레핀),하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,에틸헥실글리세린,다이소듐이디티에이,다이메티콘/비닐다이메티콘크로스폴리머,향료,솔비탄아이소스테아레이트,알란토인,녹차추출물(0.001%),소듐하이알루로네이트,알로에베라잎추출물,티트리잎추출물,병풀추출물,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,테트라메틸아세틸옥타하이드로나프탈렌,리날릴아세테이트,헥사메틸인다노피란"
"A000000254392","[NEW/버블수분] 리얼베리어 워터리 히알 버블 토너 140ml","리얼베리어","140.0","140.0","ml","24000","16900","1207.1","정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 알란토인, 베타인, 하이드롤라이즈드하이알루로닉애씨드(601.5 ppm), 하이드록시아세토페논, 당귤추출물, 판테놀, 스피어민트잎오일, 글루코노락톤, 스피어민트추출물, 필리핀오렌지껍질오일, 유칼립투스잎오일, 센티드제라늄꽃오일, 타임오일, 소듐하이알루로네이트(11 ppm), 하이드로제네이티드레시틴, 시어버터, 올리브오일, 바추잎잎추출물, 다이메틸실란올하이알루로네이트(1.5 ppm), 하이드롤라이즈드소듐하이알루로네이트(1.5 ppm), 하이알루로닉애씨드(1 ppm), 포타슘하이알루로네이트(1 ppm), 하이드록시프로필트라이모늄하이알루로네이트(0.8 ppm), 소듐하이알루로네이트크로스폴리머(0.8 ppm), 소듐하이알루로네이트다이메틸실란올(0.5 ppm), 소듐아세틸레이티드하이알루로네이트(0.4 ppm), 세테아릴알코올, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 세라마이드엔피, 글라이코리피드, 소듐파이테이트, 스테아릭애씨드, 글라이신, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 소듐디엔에이, 알지닌, 글루타믹애씨드, 피토스테롤,포도씨오일"
"A000000257084","[모공픽서/각질개선] 그라펜 포어올킬 미스트토너 120ml(호박스 공동개발)","그라펜","120.0","120.0","ml","22000","19500","1625.0","정제수, 나이아신아마이드, 2,3-부탄다이올, 글리세레스-26, 펜틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 글리세린, 글루코노락톤, C12-14알케스-12, 부틸렌글라이콜, 소듐시트레이트, 에틸헥실글리세린, 하이드롤라이즈드하이알루로닉애씨드, 쇠비름추출물, 베타인, 시트릭애씨드, 아데노신, 다이소듐이디티에이, 판테놀, 베르가모트오일, 하이드로제네이티드레시틴, 분비나무오일, 라반딘오일, 라임전초오일, 멕시칸주니퍼오일, 병풀추출물, 무화과추출물, 센티드제라늄꽃오일, 칡뿌리추출물, 대왕소나무잎추출물, 당느릅나무뿌리추출물, 달맞이꽃꽃추출물, 광곽향오일, 리씨열매오일, 세라마이드엔피, 말토덱스트린, 스피어민트잎오일, 하이드롤라이즈드치자추출물, 살리실릭애씨드, 카프릴로일살리실릭애씨드, 카프릴로일글라이신, 다이프로필렌글라이콜, 헥실렌글라이콜, 사코신, 실론시나몬나무껍질추출물, 소듐하이알루로네이트, 워터민트추출물, 소듐아세틸레이티드하이알루로네이트, 리모넨, 리날룰"
"A000000257541","[스킨부스터/화잘먹토너] 마녀공장 글루타치온 7 다크스팟 토너 200ml","마녀공장","200.0","200.0","ml","23000","18800","940.0","정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, **나이
아신아마이드, 1,2-헥산다이올, 폴리글리세릴-10미리스테이트,
트레할로오스, 잔탄검, 알란토인, 암모늄아크릴로일다이메틸타
우레이트/브이피코폴리머, 에틸헥실글리세린, 폴리아크릴레이
트크로스폴리머-6, 다이소듐이디티에이, 다이포타슘글리시리
제이트, 시트릭애씨드, 폴리쿼터늄-51, 소듐시트레이트, t-부틸
알코올, 황련뿌리추출물, 토코페롤, **아세틸글루코사민, **알파알부틴, 엑토인, **알부틴, **코직애씨드, 글루코노락톤, **글루
타티온(50ppb), 폴리글리세릴-10라우레이트, 포스파티딜콜린,
소듐하이알루로네이트, 카프릴릴글라이콜, 레몬추출물, 하이드
록시프로필트라이모늄하이알루로네이트, **아스코빅애씨드,
다이펩타이드-2, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1,
하이드롤라이즈드하이알루로닉애씨드, 팔미토일펜타펩타이드-4,
소듐아세틸레이티드하이알루로네이트, 팔미토일트라이펩타이드-1,
트라이펩타이드-1, 헥사펩타이드-9, ***하이알루로닉애씨드, ***하이드롤라이즈드소듐하이알루로네이트, 노나펩타이드-1,
소듐하이알루로네이트크로스폴리머, 토코페릴아세테이트"
"A000000257591","[단독기획] 원씽 병풀추출물 150ml 더블 기획 (+병풀 수딩 마스크 2매)","원씽","150.0","300.0","ml","28000","19000","633.3","원씽 병풀추출물 150ml: 병풀잎수(94%), 부틸렌글라이콜, 1,2 -헥산다이올, 병풀추출물(1%)
원씽 병풀 수딩 마스크팩 20ml: 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드록시아세토페논, 알란토인, 병풀잎수(990ppm), 알지닌, 아크릴레이트 /C10-30알킬아크릴레이트크로스폴리머, 프로판다이올, 다이소듐이디티에이, 덱스트린, 카카오추출물, 병풀추출물(100 ppm), 판테놀, 올리브오일, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 하이드로제네이티드레시틴, 스쿠알란, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 다이메틸실란올하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이 모늄하이알루로네이트, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트, 세라마이드엔피, 콜레스테롤, 피토스핑고신"
"A000000257653","오휘 더 퍼스트 제너츄어 포맨 스킨 리프레셔 150ml","오휘","150.0","150.0","ml","60000","51000","3400.0","정제수, 부틸렌글라이콜, 변성알코올, 메틸글루세스-20, 다이프로필렌글라이콜, 1,2-헥산다이올, 다이글리세린, 판테놀, 글라이코실트레할로오스, 피이지-40하이드로제네이티드캐스터오일, 옥틸도데세스-16, 하이드로제네이티드스타치하이드롤리세이트, 소듐시트레이트, 시트릭애씨드, 트라이소듐이디티에이, 나이아신아마이드, 세린, 알지닌, 글리세린, 하이드로제네이티드레시틴, 병풀추출물, 다이포타슘글리시리제이트, 세라마이드엔피, 올리고펩타이드-1, 올리고펩타이드-2, 올리고펩타이드-3, 카퍼트라이펩타이드-1, 올리고펩타이드-6, 올리고펩타이드-4, 향료, 리모넨, 리날룰"
"A000000257657","오휘 마이스터 포맨 하이드라 스킨 150ml","오휘","150.0","150.0","ml","55000","46750","3116.7","정제수, 부틸렌글라이콜, 다이프로필렌글라 이콜, 프로판다이올, 1,2-헥산다이올, 글리세린, 비스-피이지-18메틸에터다이메틸실레인, 세틸에틸 헥사노에이트, 판테놀, 다이펜타에리스리틸헥사 C5-9애씨드에스터, 하이드록시에틸아크릴레이트/ 소듐아크릴로일다이메틸타우레이트코폴리머, 글리 세릴스테아레이트, 세테스-20, 스테아레스-20, 아크릴레이트/C10-30알킬아크릴레이트크로스 폴리머, 트로메타민, 세테아릴알코올, 토코페롤, 트라이소듐이디티에이, 돌콩오일, 폴리솔베이트60, 솔비탄아이소스테아레이트, 글라이코스핑고리피드, 베타-글루칸, 토코페릴아세테이트, 포스포리피드, 세라마이드엔피, 콜레스테롤, 비니거, 향료, 리날룰, 리모넨, 시트로넬올, 쿠마린"
