"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000229588","런드리유 클린 페이스 솔리드 미스트 카밍 100g","런드리유","100.0","100.0","g(약 1ml 상당으로 근사)","32000","27200","2720.0","정제수, 글리세린, 프로판다이올, 부틸렌글라이콜, 오레가노잎추출물, 1,2-헥산다이올, 편백잎추출물, 해수, 젤란검, 칼슘락테이트, 에틸헥실글리세린, 다이소듐이디티에이, 다이포타슘글리시리제이트, 다이프로필렌글라이콜, 락토바실러스발효용해물, 락토코쿠스발효용해물, 비피다발효용해물, 토코페롤, 엑토인, 서양민들레잎추출물"
"A000000232975","[화잘먹미스트] 휩드 무화버터 비건 밀크폼 팩미스트 150ml","휩드","150.0","150.0","ml","26000","20800","1386.7","정제수, 다이카프릴릴에터, 메틸프로판다이올, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 나이아신아마이드, 에리스리톨, 소듐클로라이드, 트레할로오스, 베타인, 하이드로제네이티드레시틴, 폴리글리세릴-10미리스테이트, 에틸헥실글리세린, 부틸렌글라이콜, 아데노신, 잔탄검, 모나스커스추출물, 무화과추출물, 덱스트린, 토코페롤, 카카오추출물, 트라넥사믹애씨드, 쌀겨추출물, 락토바실러스발효물, 카프릴릴글라이콜, 글리세린, 하이드롤라이즈드익스텐신, 옥틸도데칸올, 쌀겨오일, 카카오씨버터, 아세틸헥사펩타이드-8, 세라마이드엔피, 카프릴로일살리실릭애씨드, 다이소듐이디티에이, 향료, 리모넨"
"A000000233179","[올영단독/NEW] 제나벨 PDRN 듀얼 글로우 세럼 미스트 100ml","제나벨","100.0","100.0","ml","","28000","2800.0","정제수,에틸헥실팔미테이트,C12-15알킬벤조에이트,카프릴릭/카프릭트라이글리세라이드,세틸에틸헥사노에이트,해바라기씨오일,나이아신아마이드,1,2-헥산다이올,소듐디엔에이,돌콩오일,하이드록시아세토페논,하이드롤라이즈드콜라겐,덱스판테놀,부틸렌글라이콜,시트릭애씨드,아데노신,토코페롤,에틸헥실글리세린,소듐클로라이드,글리세린,다이소듐이디티에이,아나토씨오일,솔비톨,호호바씨오일,잇꽃씨오일,자일리틸글루코사이드,아보카도오일,안하이드로자일리톨,프로판다이올,자일리톨,하이알루로닉애씨드,하이드롤라이즈드소듐디엔에이,소듐하이알루로네이트,식물성오일,베타-글루칸,레시틴,트라이펩타이드-1,폴리글루타믹애씨드,폴리솔베이트20,하이드롤라이즈드하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,히스티딘,류신,라이신,메티오닌,알지닌,아이소류신,페닐알라닌,소듐아세틸레이티드하이알루로네이트,트립토판,발린,트레오닌,다이메틸실란올하이알루로네이트,카퍼트라이펩타이드-1,아세틸헥사펩타이드-8,소듐아스코빌포스페이트,소듐하이알루로네이트크로스폴리머,팔미토일테트라펩타이드-7,노나펩타이드-1,팔미토일펜타펩타이드-4,팔미토일트라이펩타이드-5,펜틸렌글라이콜,포타슘하이알루로네이트,소듐벤조에이트,향료"
"A000000235165","[화잘먹 젤리미스트] 빛클 살구콜라겐 젤세럼 미스트 100ml","빛클","100.0","100.0","ml","29000","24200","2420.0","정제수, 메도우폼씨오일, 부틸렌글라이콜, 글리세린, 벤질글라이콜, 소듐클로라이드, 해바라기씨오일, 카프릴릴글라이콜, 젤란검, 1,2-헥산다이올, 프로판다이올, 에틸헥실글리세린, 아데노신, 향료, 화이트루핀씨추출물, 인도멀구슬나무추출물, 스타아니스추출물, 드럼스틱씨오일, 토코페롤, 식물성오일, 바쿠치올, 녹용추출물, 살구씨추출물 8.6ppb, 살구씨오일 7ppb, 하이드롤라이즈드콜라겐 0.43ppb,하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 연옥가루"
"A000000235494","[수분장벽/진정잠금] 런드리유 카밍 고체미스트 100g+30g 기획","런드리유","100.0","130.0","g(약 1ml 상당으로 근사)","","32000","2461.5","정제수, 글리세린, 프로판다이올, 부틸렌글라이콜, 오레가노잎추출물, 1,2-헥산다이올, 편백잎추출물, 해수, 젤란검, 칼슘락테이트, 에틸헥실글리세린, 다이소듐이디티에이, 다이포타슘글리시리제이트, 다이프로필렌글라이콜, 락토바실러스발효용해물, 락토코쿠스발효용해물, 비피다발효용해물, 토코페롤, 엑토인, 서양민들레잎추출물"
"A000000235504","[장원영PICK/속광부스터] 닥터엘시아 345 릴리프 크림 미스트 100ml","닥터엘시아","100.0","100.0","ml","25000","22500","2250.0","쌀겨수,글리세린,트라이에틸헥사노인,정제수,하이드로제네이티드폴리(C6-14올레핀),부틸렌글라이콜,메틸프로판다이올,펜틸렌글라이콜,1,2-헥산다이올,스트렙토코쿠스 테르모필루스발효물,사과즙,쌀추출물,씨솔트,백미꽃추출물,아스퍼질러스발효물,접시꽃추출물,하이드롤라이즈드하이알루로닉애씨드,알로에베라잎수,귀리커넬추출물,병풀잎추출물,락토바실러스발효물,약모밀추출물,하이알루로닉애씨드,비피다발효추출물,하이드롤라이즈드쌀단백질,쌀아미노산,판테놀,베타인,트라이라우레스-4포스페이트,에틸헥실글리세린,폴리쿼터늄-51,소듐파이테이트,시트릭애씨드,토코페롤,하이드록시프로필트라이모늄하이알루로네이트,마데카소사이드,실란트라이올"
"A000000235510","[뿌리는 속광부스터] 닥터엘시아 345 릴리프 크림 미스트 60ml","닥터엘시아","60.0","60.0","ml","16000","14400","2400.0","쌀겨수,글리세린,트라이에틸헥사노인,정제수,하이드로제네이티드폴리(C6-14올레핀),부틸렌글라이콜,메틸프로판다이올,펜틸렌글라이콜,1,2-헥산다이올,스트렙토코쿠스 테르모필루스발효물,사과즙,쌀추출물,씨솔트,백미꽃추출물,아스퍼질러스발효물,접시꽃추출물,하이드롤라이즈드하이알루로닉애씨드,알로에베라잎수,귀리커넬추출물,병풀잎추출물,락토바실러스발효물,약모밀추출물,하이알루로닉애씨드,비피다발효추출물,하이드롤라이즈드쌀단백질,쌀아미노산,판테놀,베타인,트라이라우레스-4포스페이트,에틸헥실글리세린,폴리쿼터늄-51,소듐파이테이트,시트릭애씨드,토코페롤,하이드록시프로필트라이모늄하이알루로네이트,마데카소사이드,실란트라이올"
"A000000237006","[NEW/수분광채/청담샵 추천] 헤슬 쏙보습 쌀 세럼 미스트 150ml","헤슬","150.0","150.0","ml","","19500","1300.0","쌀겨수(750,974ppm), 세틸에틸헥사노에이트, 프로판다이올, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 다이카프릴릴카보네이트, 1,2-헥산다이올, 글리세레스-26, 옥틸도데칸올, 폴리글리세릴-10라우레이트, 정제수, 사카라이드하이드롤리세이트, 하이드로제네이티드레시틴, 에틸헥실글리세린, 락토바실러스발효물, 아데노신, 다이소듐이디티에이, 쌀겨오일(100ppm), 포스파티딜콜린, 하이드롤라이즈드쌀단백질(1ppm), 세라마이드엔피, 글라이신, 세린, 쌀아미노산(0.01ppm), 글루타믹애씨드, 라이신, 알라닌, 트레오닌, 프롤린, 알지닌"
"A000000238503","[NEW] 헤라 컴피 리바이탈라이징 세럼 미스트 90ml","헤라","90.0","90.0","ml","82000","64940","7215.6","정제수, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 글리세린, 1,2-헥산다이올 ,베타인 ,소듐클로라이드 ,에틸헥실글리세린, 토코페롤, 향료, 다이소듐이디티에이, 아데노신, 해바라기씨오일, 동백나무씨오일, 당근추출물, 프로판다이올, 동백나무꽃추출물, 바이오플라보노이드, 베타-카로틴"
"A000000240137","[수분쿨링] 닥터엘시아 아쿠아 마린 젤리 미스트 100ml","닥터엘시아","100.0","100.0","ml","25000","22500","2250.0","정제수,해수(100,000ppm),트라이프로필렌글라이콜,글리세레스-26,메틸프로판다이올,부틸렌글라이콜,자일리톨,1,2-헥산다이올,소듐클로라이드,글리세린,하이드록시아세토페논,젤란검,글리세레스-25피씨에이아이소스테아레이트,프로판다이올,에틸헥실글리세린,트라이소듐에틸렌다이아민다이석시네이트,다이소듐이디티에이,메틸다이아이소프로필프로피온아마이드,베타-글루칸,말라카이트추출물,알지닌,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,소듐디엔에이(0.1ppm)"
